Tªn yÕu quyÕt	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Sè thø tù mËt tŞch	L­u	id kü n¨ng (dïng ph¸n ®o¸n lo¹i trõ)	L­u2	L­u3	L­u4	L­u5	L­u6	L­u7	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)8	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	L­u ( Ch÷ sè)9	L­u ph¸i (L­u ph¸i id. Kh«ng ®iÒn hoÆc mÆc ®Şnh sè nhá h¬n 0 ®Òu cã thÓ t¶i)	L­u ( Ch÷ sè)10	Column11
Cµn Kh«n QuyÕt	2	6	118	1	1	1	118		157									\image\item\book\jue_005a1.spr	\image\item\book\jue_005a0.spr	<color=gold>Cµn Kh«n QuyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>Gi¶m thêi gian gi¶n c¸ch,  t¨ng tû lÖ ng¾t chiªu vâ c«ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		15		
Th­îng Thanh C«ng quyÕt	2	6	119	1	1	1	119		158									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	<color=gold>Th­îng Thanh C«ng quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>T¨ng tû lÖ khëi ®éng chiªu thøc 1		QuyÕt YÕu	\script\item\addenda.lua	7	0		15		
Th­¬ng Ph¸p quyÕt	2	6	120	1	1	1	120		721									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>Th­¬ng Ph¸p quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> T¨ng giíi h¹n d­íi lùc c«ng kİch th­¬ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		17		
Ph¸ Phong Th­¬ng quyÕt	2	6	121	1	1	1	121		722									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>Ph¸ Phong Th­¬ng quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>T¨ng lùc c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		17		
Ngù M· quyÕt	2	6	122	1	1	1	122		723									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>Ngù M· quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold>T¨ng ®iÓm phßng ngù néi ngo¹i c«ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		17		
B«n Lang Th­¬ng quyÕt	2	6	123	1	1	1	123		724									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>B«n Lang Th­¬ng quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold> KhiÕn môc tiªu gi¶m ®iÓm phßng ngù néi ngo¹i c«ng trong 5 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		17		
ChiÕn §Şnh quyÕt	2	6	124	1	1	1	124		725									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>ChiÕn §Şnh quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> rót ng¾n thêi gian thä th­¬ng, t¨ng giíi h¹n néi lùc vÜnh cöu		QuyÕt YÕu	\script\item\addenda.lua	7	0		17		
X¶o ChiÕn quyÕt	2	6	125	1	1	1	125		726									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>X¶o ChiÕn quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold>Gi¶m thêi gian gi¶n c¸ch		QuyÕt YÕu	\script\item\addenda.lua	7	0		17		
Thiªn Hoµnh Th­¬ng quyÕt	2	6	126	1	1	1	126		727									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>Thiªn Hoµnh Th­¬ng quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold> Chuyªn th­¬ng c«ng kİch gi¶m tÊt c¶ thuéc tİnh cña môc tiªu trong 10 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		17		
Anh Hïng quyÕt	2	6	127	1	1	1	127		728									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>Anh Hïng quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> Gióp ®ång ®éi gi¶m thiÓu s¸t th­¬ng trong ph¹m vi vßng s¸ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		17		
§¶o H¶i Th­¬ng quyÕt	2	6	128	1	1	1	128		729									\image\item\book\jue_006a1.spr	\image\item\book\jue_006a0.spr	<color=gold>§¶o H¶i Th­¬ng quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold> Cã x¸c xuÊt khiÕn môc tiªu cho¸ng trong 2 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		17		
Ngù M· quyÕt	2	6	129	1	1	1	129		730									\image\item\book\jue_006a1.spr	\image\item\book\jue_006a0.spr	<color=gold>Ngù M· quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold> KhiÕn môc tiªu suy yÕu tû lÖ phßng ngù néi ngo¹i c«ng trong 5 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		17		
Bİch Th­¬ng quyÕt	2	6	130	1	1	1	130		731									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	<color=gold>Bİch Th­¬ng quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>T¨ng tû lÖ khëi ®éng chiªu thøc 1#T¨ng lùc c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		17		
Cung Ph¸p quyÕt	2	6	131	1	1	1	131		734									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>Cung Ph¸p quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> TÊt c¶ c«ng kİch cã x¸c xuÊt xuyªn thÊu		QuyÕt YÕu	\script\item\addenda.lua	7	0		18		
Liªn X¹ ThuËt quyÕt	2	6	132	1	1	1	132		735									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>Liªn X¹ ThuËt quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>T¨ng lùc c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		18		
TrËn LiÖu quyÕt	2	6	133	1	1	1	133		736									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>TrËn LiÖu quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> Gióp môc tiªu t¨ng c­êng tû lÖ néi ngo¹i phßng trong 4 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		18		
Håi Long TiÔn quyÕt	2	6	134	1	1	1	134		737									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>Håi Long TiÔn quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold> KhiÕn môc tiªu gi¶m tèc ®é di chuyÓn trong 6 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		18		
TriÒn V©n TiÔn quyÕt	2	6	135	1	1	1	135		738									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>TriÒn V©n TiÔn quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold> Sau khi c«ng kİch môc tiªu cã x¸c xuÊt khãa chiªu khinh c«ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		18		
Kú M«n §én quyÕt	2	6	136	1	1	1	136		739									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>Kú M«n §én quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> D­íi tr¹ng th¸i khiªn cã x¸c xuÊt tr¸nh cho¸ng, lo¹n, h«n mª		QuyÕt YÕu	\script\item\addenda.lua	7	0		18		
Khİ TiÔn quyÕt	2	6	137	1	1	1	137		740									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>Khİ TiÔn quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold> Cã x¸c xuÊt khiÕn môc tiªu chËm trong 10 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		18		
To¸i TiÔn quyÕt	2	6	138	1	1	1	138		741									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>To¸i TiÔn quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold> KhiÕn môc tiªu gi¶m tû lÖ phßng ngù ngo¹i c«ng trong 5 gi©y, ®iÓm sè phßng ngù ngo¹i c«ng gi¶m		QuyÕt YÕu	\script\item\addenda.lua	7	0		18		
HuyÔn ThÇn quyÕt	2	6	139	1	1	1	139		742									\image\item\book\jue_006a1.spr	\image\item\book\jue_006a0.spr	<color=gold>HuyÔn ThÇn quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> Rót ng¾n thêi gian gi·n c¸ch, t¨ng lùc c«ng kİch ngo¹i c«ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		18		
Tôc MÖnh quyÕt	2	6	140	1	1	1	140		743									\image\item\book\jue_006a1.spr	\image\item\book\jue_006a0.spr	<color=gold>Tôc MÖnh quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> T¨ng giíi h¹n sinh lùc, t¨ng giíi h¹n néi lùc		QuyÕt YÕu	\script\item\addenda.lua	7	0		18		
L­u TuyÖt TiÔn quyÕt	2	6	141	1	1	1	141		744									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	<color=gold>L­u TuyÖt TiÔn quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>T¨ng tû lÖ khëi ®éng chiªu thøc 1		QuyÕt YÕu	\script\item\addenda.lua	7	0		18		
Ngò §éc §ao Ph¸p quyÕt	2	6	142	1	1	1	142		365									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>Ngò §éc §ao Ph¸p quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> Gi¶m thêi gian ®Şnh th©n, gi¶m tèc, t¨ng tû lÖ phßng ngù néi ngo¹i c«ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		20		
DÉn Hån Chó quyÕt	2	6	143	1	1	1	143		366									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>DÉn Hån Chó quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold> KhiÕn môc tiªu gi¶m tû lÖ phßng ngù 		QuyÕt YÕu	\script\item\addenda.lua	7	0		20		
Thao Thi ThuËt quyÕt	2	6	144	1	1	1	144		367									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>Thao Thi ThuËt quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold> T¨ng ®é bÒn cña thi		QuyÕt YÕu	\script\item\addenda.lua	7	0		20		
Thi §éc ThuËt quyÕt	2	6	145	1	1	1	145		368									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>Thi §éc ThuËt quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> KhiÕn môc tiªu kĞo giµn gi¶n c¸ch sö dông vâ c«ng trong 10 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		20		
Thi Béc §¹i Ph¸p quyÕt	2	6	146	1	1	1	146		369									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>Thi Béc §¹i Ph¸p quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>Gi¶m thêi gian gi¶n c¸ch		QuyÕt YÕu	\script\item\addenda.lua	7	0		20		
TËp Thi Tµ Khİ quyÕt	2	6	147	1	1	1	147		370									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>TËp Thi Tµ Khİ quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> T¨ng tèc ®é thi triÓn cña tÊt c¶ tµ chó phôc sinh		QuyÕt YÕu	\script\item\addenda.lua	7	0		20		
Ngù Thi ThuËt quyÕt	2	6	148	1	1	1	148		371									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>Ngù Thi ThuËt quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold> T¨ng lùc c«ng kİch cña thi		QuyÕt YÕu	\script\item\addenda.lua	7	0		20		
V¹n §éc §o¹t MÖnh §ao quyÕt	2	6	149	1	1	1	149		372									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>V¹n §éc §o¹t MÖnh §ao quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold> T¨ng tû lÖ nh¸t ®ao cuèi cïng mang s¸t th­¬ng ®éc trong 10 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		20		
¢m Tµ HÊp Hån Khİ quyÕt	2	6	150	1	1	1	150		373									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>¢m Tµ HÊp Hån Khİ quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold>Gi¶m thêi gian gi¶n c¸ch, t¨ng tû lÖ phßng ngù néi ngo¹i c«ng khi thi triÓn		QuyÕt YÕu	\script\item\addenda.lua	7	0		20		
Th«i Thi Tµ Khİ quyÕt	2	6	151	1	1	1	151		374									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>Th«i Thi Tµ Khİ quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> Håi sinh lùc cho thi		QuyÕt YÕu	\script\item\addenda.lua	7	0		20		
Tµ Linh §¹i Ph¸p quyÕt	2	6	152	1	1	1	152		375									\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	<color=gold>Tµ Linh §¹i Ph¸p quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold> C«ng kkisch miÔn hån kÌm ®éc s¸t trong 10 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		20		
Tµ §éc C«ng quyÕt	2	6	153	1	1	1	153		376									\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	<color=gold>Tµ §éc C«ng quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> Gióp c­¬ng thi cã tû lÖ nhÊt ®Şnh nĞ tr¸nh phÇn lín hiÖu qu¶ g©y h¹i		QuyÕt YÕu	\script\item\addenda.lua	7	0		20		
Thi LiÖt Ma C«ng quyÕt	2	6	154	1	1	1	154		377									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	<color=gold>Thi LiÖt Ma C«ng quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold>T¨ng tû lÖ khëi ®éng chiªu thøc 1		QuyÕt YÕu	\script\item\addenda.lua	7	0		20		
H¹ Cæ MËt Ph­¬ng quyÕt	2	6	155	1	1	1	155		348									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>H¹ Cæ MËt Ph­¬ng quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> Sau khi sö dông cã x¸c xuÊt tiªu trõ gi¶n c¸ch thêi gian sö dông Cæ ThuËt		QuyÕt YÕu	\script\item\addenda.lua	7	0		21		
Phong Cæ quyÕt	2	6	156	1	1	1	156		351									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>Phong Cæ quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold> T¨ng tèc ®é thi triÓn Phong Cæ, V¹n Cæ Thùc Thiªn		QuyÕt YÕu	\script\item\addenda.lua	7	0		21		
D­ìng Cæ Bİ ThuËt quyÕt	2	6	157	1	1	1	157		352									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>D­ìng Cæ Bİ ThuËt quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> T¨ng tèc ®é chÕ t¹o thøc ¨n		QuyÕt YÕu	\script\item\addenda.lua	7	0		21		
Cuång Phong Tr¶o quyÕt	2	6	158	1	1	1	158		353									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>Cuång Phong Tr¶o quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold> Më réng ph¹m vi thi triÓn		QuyÕt YÕu	\script\item\addenda.lua	7	0		21		
§éc Cæ quyÕt	2	6	159	1	1	1	159		354									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>§éc Cæ quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> KĞo dµi thêi gian duy tr×, gi¶m søc m¹nh môc tiªu		QuyÕt YÕu	\script\item\addenda.lua	7	0		21		
HuyÕt §Ønh C«ng quyÕt	2	6	160	1	1	1	160		355									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>HuyÕt §Ønh C«ng quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> T¨ng tèc ®é di chuyÓn		QuyÕt YÕu	\script\item\addenda.lua	7	0		21		
HuyÕt Cæ quyÕt	2	6	161	1	1	1	161		356									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>HuyÕt Cæ quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> KĞo dµi thêi gian duy tr×, khiÕn môc tiªu gi¶m g©n cè		QuyÕt YÕu	\script\item\addenda.lua	7	0		21		
H­¬ng Cæ quyÕt	2	6	162	1	1	1	162		357									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>H­¬ng Cæ quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> Cã x¸c xuÊt t¨ng 20% tû lÖ phßng ngù néi ngo¹i c«ng khi bŞ c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		21		
Thi Cæ quyÕt	2	6	163	1	1	1	163		358									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>Thi Cæ quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> KĞo dµi thêi gian duy tr×, khiÕn môc tiªu gi¶m th©n ph¸p		QuyÕt YÕu	\script\item\addenda.lua	7	0		21		
Yªu Cæ quyÕt	2	6	164	1	1	1	164		359									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>Yªu Cæ quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> Mçi gi©y gi¶m tr¹ng th¸i g©y h¹i, mçi gi©y håi phôc sinh lùc, duy tr× trong 3 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		21		
T©m Cæ quyÕt	2	6	165	1	1	1	165		360									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>T©m Cæ quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> KĞo dµi thêi gian duy tr×, khiÕn môc tiªu gi¶m néi c«ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		21		
V¹n Cæ Thùc Thiªn quyÕt	2	6	166	1	1	1	166		361									\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	<color=gold>V¹n Cæ Thùc Thiªn quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold> KĞo dµi thêi gian duy tr×, gi¶m tiªu hao néi lùc		QuyÕt YÕu	\script\item\addenda.lua	7	0		21		
HuyÔn Cæ quyÕt	2	6	167	1	1	1	167		362									\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	<color=gold>HuyÔn Cæ quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> Khi sö dông vâ c«ng cã x¸c xuÊt kh«ng bá qua gi¶n c¸ch sö dông		QuyÕt YÕu	\script\item\addenda.lua	7	0		21		
Tµm Cæ quyÕt	2	6	168	1	1	1	168		363									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	<color=gold>Tµm Cæ quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold>T¨ng tèc ®é xuÊt chiªu		QuyÕt YÕu	\script\item\addenda.lua	7	0		21		
L«i TÕ quyÕt	2	6	169	1	1	1	169	1	1018									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>L«i TÕ quyÕt<color><enter>Gióp tÊt c¶ c¸c c«ng kİch hÖ L«i cã tû lÖ [<color=Gold>10<color=White>]%<color=Blue1> x<color=White> t¨ng hç trî mËt tŞch khiÕn môc tiªu tª liÖt 1 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		23		
Ph«ng TÕ quyÕt	2	6	170	1	1	1	170	2	1019									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>Ph«ng TÕ quyÕt<color><enter>ë tr¹ng th¸i hÖ Phong tû lÖ chŞu ®ßn gi¶m nöa [<color=Gold>15<color=White>]%<color=Blue1> x<color=White> t¨ng hç trî mËt tŞch 		QuyÕt YÕu	\script\item\addenda.lua	7	0		23		
Thiªn L«i Phï quyÕt	2	6	171	1	1	1	171	3	1020									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>Thiªn L«i Phï quyÕt<color><enter>Gi¶m tû lÖ phßng ngù néi c«ng ®èi ph­¬ng trong 10 gi©y [<color=Gold>25<color=White>]%<color=Blue1>x<color=White> MËt tŞch hç trî tÊn c«ng t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		23		
B¨ng Phong quyÕt	2	6	172	1	1	1	172	4	1021									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>B¨ng Phong quyÕt<color><enter>KhiÕn phßng ngù néi c«ng cña môc tiªu trong 5 gi©y gi¶m [<color=Gold>300<color=White>]<color=Blue1> x<color=White> t¨ng hç trî mËt tŞch c«ng kİch néi c«ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		23		
Ngù Phong quyÕt	2	6	173	1	1	1	173	5	1022									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>Ngù Phong quyÕt<color><enter>Gi·n c¸ch thêi gian rót ng¾n [<color=Gold>5<color=White>] gi©y <color=Blue1>x<color=White> t¨ng hç trî mËt tŞch phßng ngù<enter>Tû lÖ xuÊt chiªu t¨ng [<color=Gold>10<color=White>]%<color=Blue1> x<color=White> t¨ng hç trî mËt tŞch phßng ngù 		QuyÕt YÕu	\script\item\addenda.lua	7	0		23		
Cuån L«i Phï quyÕt	2	6	174	1	1	1	174	6	1023									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>Cuån L«i Phï quyÕt<color><enter>KÌm theo lùc c«ng [<color=Gold>200<color=White>]<color=Blue1> x<color=White> t¨ng mËt tŞch tÊn c«ng néi c«ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		23		
D­¬ng Sa quyÕt	2	6	175	1	1	1	175	7	1025									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>D­¬ng Sa quyÕt<color><enter>Sinh lùc tèi ®a t¨ng [<color=Gold>15<color=White>]%<color=Blue1> x<color=White> t¨ng hç trî mËt tŞch phßng ngù		QuyÕt YÕu	\script\item\addenda.lua	7	0		23		
