Tªn M·o	Lo¹i h×nh chÝnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	(Ngo¹i, néi) phßng	Thuéc tÝnh hç trî 1	TrÞ sè Thuéc tÝnh hç trî 1	Thuéc tÝnh hç trî 2	TrÞ sè Thuéc tÝnh hç trî 2	Sè trang bÞ	§¾ng cÊp yªu cÇu	Giíi tÝnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàÐÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thÞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dÞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chÝ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm	Column1	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12	Column13	Column14	Column15	Column16	Column17	Column18	Column19	Column20	Column21	Column22	Column23	Column24	Column25	Column26	Column27	Column28	Column29	Column30	Column31	Column32	Column33	Column34	Column35	Column36	Column37	Column38	Column39	Column40	Column41	Column42	Column43	Column44	Column45	Column46	Column47	Column48	Column49	Column50	Column51	Column52	Column53	Column54	Column55	Column56	Column57	Column58	Column59	Column60	Column61	Column62	Column63	Column64	Column65	Column66
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30391	30	40000	0	200	25;17					31636	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\f2_hd_024a_0.spr	\image\item\cap\f2_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	ÐÔ¸ÐÅ®»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30392	30	40000	0	200	25;17					31637	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\f1_hd_024a_0.spr	\image\item\cap\f1_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	½¿Ð¡Å®»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30393	30	40000	0	200	23;23					31638	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\m1_hd_024a_0.spr	\image\item\cap\m1_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	±ê×¼ÄÐ»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30394	30	40000	0	200	23;23					31639	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\m2_hd_024a_0.spr	\image\item\cap\m2_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	¿ýÎàÄÐ»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30395	30	40000	0	200	23;23					31640	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\f2_hd_024a_0.spr	\image\item\cap\f2_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	ÐÔ¸ÐÅ®»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30396	30	40000	0	200	23;23					31641	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\f1_hd_024a_0.spr	\image\item\cap\f1_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	½¿Ð¡Å®»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30397	30	40000	0	200	17;25					31642	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\m1_hd_024a_0.spr	\image\item\cap\m1_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	±ê×¼ÄÐ»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30398	30	40000	0	200	17;25					31643	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\m2_hd_024a_0.spr	\image\item\cap\m2_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	¿ýÎàÄÐ»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30399	30	40000	0	200	17;25					31644	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\f2_hd_024a_0.spr	\image\item\cap\f2_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	ÐÔ¸ÐÅ®»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30400	30	40000	0	200	17;25					31645	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\f1_hd_024a_0.spr	\image\item\cap\f1_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	½¿Ð¡Å®»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30401	30	40000	0	200	17;25					31646	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\m1_hd_024a_0.spr	\image\item\cap\m1_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	±ê×¼ÄÐ»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30402	30	40000	0	200	17;25					31647	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\m2_hd_024a_0.spr	\image\item\cap\m2_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	¿ýÎàÄÐ»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30403	30	40000	0	200	17;25					31648	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\f2_hd_024a_0.spr	\image\item\cap\f2_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	ÐÔ¸ÐÅ®»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30404	30	40000	0	200	17;25					31649	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\f1_hd_024a_0.spr	\image\item\cap\f1_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	½¿Ð¡Å®»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30405	30	40000	0	200	23;23					31650	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\m1_hd_024a_0.spr	\image\item\cap\m1_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	±ê×¼ÄÐ»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30406	30	40000	0	200	23;23					31651	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\m2_hd_024a_0.spr	\image\item\cap\m2_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	¿ýÎàÄÐ»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30407	30	40000	0	200	23;23					31652	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\f2_hd_024a_0.spr	\image\item\cap\f2_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	ÐÔ¸ÐÅ®»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30408	30	40000	0	200	23;23					31653	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\f1_hd_024a_0.spr	\image\item\cap\f1_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	½¿Ð¡Å®»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30409	30	40000	0	200	17;25					31654	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\m1_hd_024a_0.spr	\image\item\cap\m1_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	±ê×¼ÄÐ»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30410	30	40000	0	200	17;25					31655	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\m2_hd_024a_0.spr	\image\item\cap\m2_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	¿ýÎàÄÐ»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30411	30	40000	0	200	17;25					31656	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\f2_hd_024a_0.spr	\image\item\cap\f2_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	ÐÔ¸ÐÅ®»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30412	30	40000	0	200	17;25					31657	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\f1_hd_024a_0.spr	\image\item\cap\f1_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	½¿Ð¡Å®»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30413	30	40000	0	200	23;23					31658	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\m1_hd_024a_0.spr	\image\item\cap\m1_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	±ê×¼ÄÐ»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30414	30	40000	0	200	23;23					31659	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\m2_hd_024a_0.spr	\image\item\cap\m2_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	¿ýÎàÄÐ»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30415	30	40000	0	200	23;23					31660	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\f2_hd_024a_0.spr	\image\item\cap\f2_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	ÐÔ¸ÐÅ®»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30416	30	40000	0	200	23;23					31661	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\f1_hd_024a_0.spr	\image\item\cap\f1_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	½¿Ð¡Å®»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30417	30	40000	0	200	17;25					31662	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\m1_hd_024a_0.spr	\image\item\cap\m1_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	±ê×¼ÄÐ»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30418	30	40000	0	200	17;25					31663	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\m2_hd_024a_0.spr	\image\item\cap\m2_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	¿ýÎàÄÐ»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30419	30	40000	0	200	17;25					31664	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\f2_hd_024a_0.spr	\image\item\cap\f2_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	ÐÔ¸ÐÅ®»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30420	30	40000	0	200	17;25					31665	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\f1_hd_024a_0.spr	\image\item\cap\f1_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	½¿Ð¡Å®»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30421	30	40000	0	200	17;25					31666	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\m1_hd_024a_0.spr	\image\item\cap\m1_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	±ê×¼ÄÐ»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	23	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30422	30	40000	0	200	17;25					31667	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\m2_hd_024a_0.spr	\image\item\cap\m2_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	¿ýÎàÄÐ»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	23	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30423	30	40000	0	200	25;17					31668	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\m1_hd_024a_0.spr	\image\item\cap\m1_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	±ê×¼ÄÐ»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30424	30	40000	0	200	25;17					31669	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\m2_hd_024a_0.spr	\image\item\cap\m2_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	¿ýÎàÄÐ»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30425	30	40000	0	200	25;17					31670	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\f2_hd_024a_0.spr	\image\item\cap\f2_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	ÐÔ¸ÐÅ®»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30426	30	40000	0	200	25;17					31671	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\f1_hd_024a_0.spr	\image\item\cap\f1_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	½¿Ð¡Å®»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30427	30	40000	0	200	23;23					31672	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\m1_hd_024a_0.spr	\image\item\cap\m1_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	±ê×¼ÄÐ»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30428	30	40000	0	200	23;23					31673	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\m2_hd_024a_0.spr	\image\item\cap\m2_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	¿ýÎàÄÐ»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0																																																																							
Tèng_Háa Phông Nguyªn So¸i Kh«i	0	103	30429	30	40000	0	200	23;23					31674	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\f2_hd_024a_0.spr	\image\item\cap\f2_hd_024a.spr	<color=gold>Tèng_Háa Phông Nguyªn So¸i Kh«i<color><enter>Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)	ÐÔ¸ÐÅ®»ð·ïÔªË§Í·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0																																																																							
