Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Håi phôc thuéc tİnh1	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (1)	Håi phôc thuéc tİnh2	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (2)	Håi phôc thuéc tİnh3	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (3)	Håi phôc thuéc tİnh4	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (4)	Thêi gian duy tr× hiÖu lùc (Sè ch½n)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)2	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã thÓ giao dŞch hay kh«ng ( 0 cã thÓ giao dŞch, cã thÓ b¸n; 1 kh«ng thÓ giao dŞch kh«ng thÓ b¸n; 2 cã thÓ b¸n, kh«ng thÓ giao dŞch; 3 kh«ng thÓ b¸n, cã thÓ giao dŞch; 4 cã thÓ b¸n, sau khi mang vµo sÏ bŞ khãa)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	B¶o l­u 1	B¶o l­u 2	B¶o l­u 3	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Kh¨n §ãng	2	1	30489	1	0	999												\image\item\other\Ô½Ê½Í·½í32.spr	\image\item\other\Ô½Ê½Í·½í80.spr	<color=gold>Kh¨n §ãng<color><enter>Kh¨n ®ãng truyÒn thèng cña d©n téc ViÖt Nam<enter><color=Gold> (sau 24:00 ngµy 14 th¸ng 4 n¨m 2013 kh«ng thÓ sö dông)		ThÇn bİ	\script\online_activites\head\vn_activity_item.lua	1	0	1							
Hoµng Kim §¹i Ng©n PhiÕu	2	1	30490	1	0	1												\image\item\other\»Æ½ğ»¢ÎÆÊÕ¼¯ 36.spr	\image\item\other\»Æ½ğ»¢ÎÆÊÕ¼¯¿¨.spr	<color=gold>Hoµng Kim §¹i Ng©n PhiÕu<color><enter>Hoµng Kim §¹i Ng©n PhiÕu cã thÓ ®æi 1000 xu, chuét ph¶i sö dông		ThÇn bİ	\script\item\item_billing\dayinpiao.lua	1	0	1							
VĞ TiÕu Y Vµng	2	1	30491	1	0	100												\image\item\other\½­ºş¶Ô³å»ù½ğ»Æ½ğ°æa1.spr	\image\item\other\½­ºş¶Ô³å»ù½ğ»Æ½ğ°æa0.spr	<color=gold>VĞ TiÕu Y Vµng<color><enter>VĞ TiÕu Y Vµng cã thÓ ®æi 1000 ®iÓm th­ëng (sö dông trong Tñ ¸o Thiªn BiÕn TiÕu)		ThÇn bİ	\script\item\item_yunling_qianbianquan.lua	1	0	1							
VĞ TiÕu Y B¹c	2	1	30492	1	0	100												\image\item\other\½­ºş¶Ô³å»ù½ğ°×Òø°æa1.spr	\image\item\other\½­ºş¶Ô³å»ù½ğ°×Òø°æa0.spr	<color=gold>VĞ TiÕu Y B¹c<color><enter>VĞ TiÕu Y B¹c cã thÓ ®æi 100 ®iÓm th­ëng (sö dông trong Tñ ¸o Thiªn BiÕn TiÕu)		ThÇn bİ	\script\item\item_yunling_qianbianquan.lua	1	0	1							
VĞ TiÕu Y §ång	2	1	30493	1	0	100												\image\item\other\½­ºş¶Ô³å»ù½ğ°×½ğ°æa1.spr	\image\item\other\½­ºş¶Ô³å»ù½ğ°×½ğ°æa0.spr	<color=gold>VĞ TiÕu Y §ång<color><enter>VĞ TiÕu Y §ång cã thÓ ®æi 10 ®iÓm th­ëng (sö dông trong Tñ ¸o Thiªn BiÕn TiÕu)		ThÇn bİ	\script\item\item_yunling_qianbianquan.lua	1	2	1							
Tñ ¸o Thiªn BiÕn TiÕu	2	1	30494	1	0	1												\image\item\other\ºÀ»ªÒÂ¹ña1.spr	\image\item\other\ºÀ»ªÒÂ¹ña0.spr	<color=gold>Tñ ¸o Thiªn BiÕn TiÕu<color><enter>Chuét ph¶i sö dông, cã thÓ dïng ®iÓm th­ëng ®Ó ®èi lÊy c¸c lo¹i ngo¹i trang (nhËn tõ L­u T­ Anh t¹i D­¬ng Ch©u)		ThÇn bİ	\script\item\item_yunling_box.lua	1	2	1							
Socola t×nh nh©n	2	1	30495	1	0	1402												\image\item\other\ÇéÈËÇÉ¿ËÁ¦36.spr	\image\item\other\ÇéÈËÇÉ¿ËÁ¦80.spr	<color=gold>Socola t×nh nh©n<color><enter>Socola ngät ngµo ngµy lÔ t×nh nh©n <enter><color=Gold> (sau 24:00 ngµy 28 th¸ng 3 n¨m 2013 kh«ng thÓ sö dông)		ThÇn bİ	\script\online_activites\head\vn_activity_item.lua	1	0	1							
Tö Linh LÖnh	2	1	30496	1	0	1												\image\item\other\ÇéÈËÇÉ¿ËÁ¦36.spr	\image\item\other\ÇéÈËÇÉ¿ËÁ¦80.spr	<color=gold>Tö Linh LÖnh<color><enter>LÖnh bµi cã thÓ ®iÒu khiÓn Tö M«n TrËn Nh·n		ThÇn bİ	\script\function\zq_battles\item\item_lingpai.lua	1	2	1							
Ma Tinh	2	1	30497	1	0	2000												\image\item\other\coll_027a1.spr	\image\item\other\coll_027a0.spr	<color=gold>Ma Tinh<color><enter>Ma khİ ng­ng kÕt thµnh tinh thÓ, v« cïng quı hiÕm		ThÇn bİ	\script\function\zq_battles\item\item_mojing.lua	1	2	1							
Hu©n ch­¬ng dòng sÜ	2	1	30498	1	2000	1000												\image\item\other\»ÕÕÂ36.spr	\image\item\other\»ÕÕÂ80.spr	<color=gold>Hu©n ch­¬ng dòng sÜ<color><enter>Hu©n Ch­¬ng d©ng tÆng c¸c vŞ hµo kiÖt dòng m·nh trªn chiÕn tr­êng, cã thÓ dïng ®Ó ®æi lÊy trang bŞ, ®¹o cô cao cÊp		ThÇn bİ	\script\missions\kuafu_battle\item\item_ys_shop.lua	1	2	1							
Hu©n ch­¬ng anh hïng	2	1	30499	1	5000	1000												\image\item\other\Ñ«ÕÂ36.spr	\image\item\other\Ñ«ÕÂ80.spr	<color=gold>Hu©n ch­¬ng anh hïng<color><enter>Huy ch­¬ng dïng ®Ó tÆng cho anh hïng chiÕn ®Êu, cã thÓ ®æi c¸c lo¹i trang bŞ m¹nh mÏ, item (trong ngù c¸c cã b¸n)		ThÇn bİ	\script\missions\kuafu_battle\item\item_yx_shop.lua	1	2	1							
M¶nh B¶n §å ThÊt l¹c	2	1	30500	1	0	2000												\image\item\other\²Ø±¦Í¼ËéÆ¬36.spr	\image\item\other\²Ø±¦Í¼ËéÆ¬80.spr	<color=gold>M¶nh B¶n §å ThÊt l¹c<color><enter>M¶nh b¶n ®å kho b¸u		ThÇn bİ		1	0	0							
R­¬ng B¸u ThÊt l¹c	2	1	30501	10	0	2000												\image\item\other\Ê§Âä±¦Ïä36.spr	\image\item\other\Ê§Âä±¦Ïä80.spr	<color=gold>R­¬ng B¸u ThÊt l¹c<color><enter>B¶o r­¬ng dÉn ®Õn vinh dù		ThÇn bİ		1	0	0							
Hu©n Ch­¬ng JXII	2	1	30502	1	0	999												\image\item\other\½£2»ÕÕÂ36.spr	\image\item\other\½£2»ÕÕÂ80.spr	<color=gold>Hu©n Ch­¬ng JXII<color><enter>Vinh dù cña t­íng lÜnh <enter><color=Gold> (sau 24:00 ngµy 12 th¸ng 5 kh«ng thÓ sö dông)		ThÇn bİ	\script\online_activites\head\vn_activity_item.lua	1	0	1							
B»ng Khen JXII	2	1	30503	1	0	999												\image\item\other\½£2½±×´36.spr	\image\item\other\½£2½±×´80.spr	<color=gold>B»ng Khen JXII<color><enter>Vinh dù cña t­íng lÜnh <enter><color=Gold> (sau 24:00 ngµy 12 th¸ng 5 kh«ng thÓ sö dông)		ThÇn bİ	\script\online_activites\head\vn_activity_item.lua	1	0	1							
Ên L·nh Thæ 	2	1	30504	1	0	2000												\image\item\other\ÁìÍÁ¹ÙÓ¡36.spr	\image\item\other\ÁìÍÁ¹ÙÓ¡80.spr	<color=gold>Ên L·nh Thæ <color><enter>T­îng tr­ng cho quyÒn së h÷u l·nh ®Şa <enter><color=Gold> (sau 24:00 ngµy 12 th¸ng 5 kh«ng thÓ sö dông)		ThÇn bİ	\script\online_activites\head\vn_activity_item.lua	1	0	1							
L«i TÕ	2	1	30505	1	0	1000												\UImage\¼¼ÄÜÍ¼±ê\À×¼À.spr	\image\item\book\book_108a0.spr	<color=gold>L«i TÕ<color><enter>ThÎ kÌm theo kü n¨ng L«i TÕ cña C«n L«n Thiªn S­, nhÊn ph¶i sö dông cã thÓ nhËn ®­îc ®iÓm kinh nghiÖm		ThÇn bİ	\script\online\collect_card\item\item_leiji_card.lua	1	0	1							
L¹c Hoa QuyÕt	2	1	30506	1	0	1000												\UImage\¼¼ÄÜÍ¼±ê\Âä»¨¾÷.spr	\image\item\book\·ç»¨Ç§Ò¶Õæ¾ía0.spr	<color=gold>L¹c Hoa QuyÕt<color><enter>ThÎ bµi in kü n¨ng L¹c Hoa QuyÕt cña Thóy Yªn Linh N÷		ThÇn bİ		1	0	1							
Linh Miªu VËn	2	1	30507	1	0	1000												\UImage\¼¼ÄÜÍ¼±ê\ÁéÃ¨ÔÏ.spr	\image\item\book\book_124a0.spr	<color=gold>Linh Miªu VËn<color><enter>ThÎ bµi in kü n¨ng Linh Miªu VËn cña Thóy Yªn Vò Tiªn		ThÇn bİ		1	0	1							
LÔ bao Thiªn Cang LÖnh	2	1	30508	1	0	10												\image\item\other\»ÒÉ«¸ß¼¶°ü¹üa1.spr	\image\item\other\»ÒÉ«¸ß¼¶°ü¹üa0.spr	<color=gold>LÔ bao Thiªn Cang LÖnh<color><enter>Chuét ph¶i sö dông LÔ bao Thiªn Cang LÖnh, tiªu hao 5 Thiªn Cang LÖnh, nhËn ®­îc LÔ Bao Thiªn Cang LÖnh N©ng CÊp		ThÇn bİ	\script\online\collect_card\item\item_tgl_compose.lua	1	0	1							
LÔ bao Thiªn M«n Kim LÖnh	2	1	30509	1	0	10												\image\item\other\éÙºìÉ«¸ß¼¶°ü¹üa1.spr	\image\item\other\éÙºìÉ«¸ß¼¶°ü¹üa0.spr	<color=gold>LÔ bao Thiªn M«n Kim LÖnh<color><enter>Chuét ph¶i sö dông LÔ bao Thiªn M«n Kinh LÖnh, tiªu hao 5 Thiªn M«n Kim LÖnh, nhËn ®­îc LÔ Bao Thiªn M«n Kim LÖnh N©ng CÊp		ThÇn bİ	\script\online\collect_card\item\item_tmjl_compose.lua	1	0	1							
LÔ bao Thiªn Cang LÖnh N©ng CÊp	2	1	30510	1	0	10												\image\item\other\½ğÉ«ÀñºĞa1.spr	\image\item\other\½ğÉ«ÀñºĞa0.spr	<color=gold>LÔ bao Thiªn Cang LÖnh N©ng CÊp<color><enter>NhÊn ph¶i sö dông LÔ Bao N©ng CÊp Thiªn C­¬ng LÖnh, cã thÓ nhËn ®­îc 5 Thiªn C­¬ng LÖnh ( Thóy Yªn, C«n L«n sö dông cã thÓ nhËn thªm ®­îc 1 Thiªn C­¬ng LÖnh)		ThÇn bİ	\script\online\collect_card\item\item_tgl_upgrade.lua	1	0	1							
LÔ bao Thiªn M«n Kim LÖnh N©ng CÊp	2	1	30511	1	0	10												\image\item\other\ºìÉ«ÀñºĞa1.spr	\image\item\other\ºìÉ«ÀñºĞa0.spr	<color=gold>LÔ bao Thiªn M«n Kim LÖnh N©ng CÊp<color><enter>NhÊn ph¶i sö dông LÔ Bao N©ng CÊp Thiªn Thiªn M«n Kim LÖnh, cã thÓ nhËn ®­îc 5 Thiªn M«n Kim LÖnh ( Thóy Yªn, C«n L«n sö dông cã thÓ nhËn thªm ®­îc 1 Thiªn M«n Kim LÖnh)		ThÇn bİ	\script\online\collect_card\item\item_tmjl_upgrade.lua	1	0	1							
H¹t gièng xanh	2	1	30512	1	0	2000												\image\item\other\ÂÌÉ«ÖÖ×Ó36.spr	\image\item\other\ÂÌÉ«ÖÖ×Ó80.spr	<color=gold>H¹t gièng xanh<color><enter>H¹t hi väng mµu xanh		ThÇn bİ		1	0	0							
Ph©n bãn siªu h¹ng	2	1	30513	1	0	2000												\image\item\other\ÉÏµÈ·ÊÁÏ36.spr	\image\item\other\ÉÏµÈ·ÊÁÏ80.spr	<color=gold>Ph©n bãn siªu h¹ng<color><enter>Ph©n bãn siªu h¹ng		ThÇn bİ		1	0	0							
MÇm C©y th¸ng 5	2	1	30514	1	0	1402												\image\item\other\»¨Ãç36.spr	\image\item\other\»¨Ãç80.spr	<color=gold>MÇm C©y th¸ng 5<color><enter>MÇm c©y hi väng cña th¸ng 5<enter><color=Gold> (sau 24:00 ngµy 13 th¸ng 6 kh«ng thÓ sö dông)		ThÇn bİ	\script\online_activites\head\vn_activity_item.lua	1	0	1							
§¸ Bµo	2	1	30515	1	0	2000												\image\item\other\ÅÙ±ù36.spr	\image\item\other\ÅÙ±ù80.spr	<color=gold>§¸ Bµo<color><enter>Mãn gi¶i kh¸t tuyÖt vêi cho mïa hÌ		ThÇn bİ		1	0	0							
Siro nguyªn chÊt	2	1	30516	1	0	2000												\image\item\other\Ô­Ö­¹û½´36.spr	\image\item\other\Ô­Ö­¹û½´80.spr	<color=gold>Siro nguyªn chÊt<color><enter>n­íc Ğp tõ tr¸i c©y ngät		ThÇn bİ		1	0	0							
Siro Ngò S¾c	2	1	30517	1	0	999												\image\item\other\¹ûÖ­ÅÙ±ù36.spr	\image\item\other\¹ûÖ­ÅÙ±ù80.spr	<color=gold>Siro Ngò S¾c<color><enter>Mãn gi¶i kh¸t tuyÖt vêi cho mïa hÌ <enter><color=Gold> (sau 24:00 ngµy 9 th¸ng 6 kh«ng thÓ sö dông)		ThÇn bİ	\script\online_activites\head\vn_activity_item.lua	1	0	1							
Kem Que CÇu Vßng	2	1	30518	1	0	999												\image\item\other\²Êºç±ù°ô36.spr	\image\item\other\²Êºç±ù°ô80.spr	<color=gold>Kem Que CÇu Vßng<color><enter>Mãn gi¶i kh¸t tuyÖt vêi cho mïa hÌ <enter><color=Gold> (sau 24:00 ngµy 9 th¸ng 6 kh«ng thÓ sö dông)		ThÇn bİ	\script\online_activites\head\vn_activity_item.lua	1	0	1							
MÇm hoa 	2	1	30519	1	0	1												\image\item\other\Ãµ¹å»¨ÖÖ36.spr	\image\item\other\Ãµ¹å»¨ÖÖ80.spr	<color=gold>MÇm hoa <color><enter>MÇm hoa cã thÓ trong nªn nh÷ng ®ãa hoa hång t­¬i ®Ñp 		ThÇn bİ		1	0	1							
ThÇn T¸n §¬n	2	1	30520	1	0	1												\image\item\other\Ğş»Æ±¦µ¤a1.spr	\image\item\other\Ğş»Æ±¦µ¤a0.spr	<color=gold>ThÇn T¸n §¬n<color><enter>Sö dông cã thÓ nhËn ®­îc ®iÓm kinh nghiÖm		ThÇn bİ	\script\online_activites\201305\refine_dan.lua	1	2	1							
CÊp 1 TÈy T©m Th¹ch	2	1	30521	1	0	2000												\image\item\other\ormeta_003a1.spr	\image\item\other\ormeta_003a0.spr	<color=gold>CÊp 1 TÈy T©m Th¹ch<color><enter>CÊp 1 TÈy T©m Th¹ch, cã thÓ trïng luyÖn thuéc tİnh d­ìng thµnh trang bŞ 1 sao		ThÇn bİ	\script\equip_feed\item_equip_feed_reset_grow.lua	1	0	1							
CÊp 2 TÈy T©m Th¹ch	2	1	30522	1	0	2000												\image\item\other\ormeta_004a1.spr	\image\item\other\ormeta_004a0.spr	<color=gold>CÊp 2 TÈy T©m Th¹ch<color><enter>CÊp 2 TÈy T©m Th¹ch, cã thÓ trïng luyÖn thuéc tİnh d­ìng thµnh trang bŞ 2 sao		ThÇn bİ	\script\equip_feed\item_equip_feed_reset_grow.lua	1	0	1							
CÊp 3 TÈy T©m Th¹ch	2	1	30523	1	0	2000												\image\item\other\ormeta_002a1.spr	\image\item\other\ormeta_002a0.spr	<color=gold>CÊp 3 TÈy T©m Th¹ch<color><enter>CÊp 3 TÈy T©m Th¹ch, cã thÓ trïng luyÖn thuéc tİnh d­ìng thµnh trang bŞ 3 sao		ThÇn bİ	\script\equip_feed\item_equip_feed_reset_grow.lua	1	0	1							
TÈy T©m Th¹ch cÊp 4	2	1	30524	1	0	2000												\image\item\other\4¼¶Ï´ĞÄÊ¯a1.spr	\image\item\other\4¼¶Ï´ĞÄÊ¯a0.spr	<color=gold>TÈy T©m Th¹ch cÊp 4<color><enter>CÊp 4 TÈy T©m Th¹ch, cã thÓ trïng luyÖn thuéc tİnh d­ìng thµnh trang bŞ 4 sao		ThÇn bİ	\script\equip_feed\item_equip_feed_reset_grow.lua	1	0	1							
TÈy T©m Th¹ch cÊp 5	2	1	30525	1	0	2000												\image\item\other\5¼¶Ï´ĞÄÊ¯a1.spr	\image\item\other\5¼¶Ï´ĞÄÊ¯a0.spr	<color=gold>TÈy T©m Th¹ch cÊp 5<color><enter>CÊp 5 TÈy T©m Th¹ch, cã thÓ trïng luyÖn thuéc tİnh d­ìng thµnh trang bŞ 5 sao		ThÇn bİ	\script\equip_feed\item_equip_feed_reset_grow.lua	1	0	1							
TÈy T©m Th¹ch cÊp 6	2	1	30526	1	0	2000												\image\item\other\6¼¶Ï´ĞÄÊ¯a1.spr	\image\item\other\6¼¶Ï´ĞÄÊ¯a0.spr	<color=gold>TÈy T©m Th¹ch cÊp 6<color><enter>CÊp 6 TÈy T©m Th¹ch, cã thÓ trïng luyÖn thuéc tİnh d­ìng thµnh trang bŞ 6 sao		ThÇn bİ	\script\equip_feed\item_equip_feed_reset_grow.lua	1	0	1							
CÊp 1 LuyÖn L« ThiÕt	2	1	30527	1	0	2000												\image\item\other\meta_002a1.spr	\image\item\other\meta_002a0.spr	<color=gold>CÊp 1 LuyÖn L« ThiÕt<color><enter>CÊp 1 LuyÖn L« ThiÕt, cã thÓ tinh luyÖn thuéc tİnh më khãa trang bŞ 1 sao		ThÇn bİ	\script\equip_feed\item_equip_feed_reset_unlock.lua	1	0	1							
CÊp 2 LuyÖn L« ThiÕt	2	1	30528	1	0	2000												\image\item\other\meta_004a1.spr	\image\item\other\meta_004a0.spr	<color=gold>CÊp 2 LuyÖn L« ThiÕt<color><enter>CÊp 2 LuyÖn L« ThiÕt, cã thÓ tinh luyÖn thuéc tİnh më khãa trang bŞ 2 sao		ThÇn bİ	\script\equip_feed\item_equip_feed_reset_unlock.lua	1	0	1							
CÊp 3 LuyÖn L« ThiÕt	2	1	30529	1	0	2000												\image\item\other\meta_005a1.spr	\image\item\other\meta_005a0.spr	<color=gold>CÊp 3 LuyÖn L« ThiÕt<color><enter>CÊp 3 LuyÖn L« ThiÕt, cã thÓ tinh luyÖn thuéc tİnh më khãa trang bŞ 3 sao		ThÇn bİ	\script\equip_feed\item_equip_feed_reset_unlock.lua	1	0	1							
LuyÖn L« ThiÕt cÊp 4	2	1	30530	1	0	2000												\image\item\other\meta_006a1.spr	\image\item\other\meta_006a0.spr	<color=gold>LuyÖn L« ThiÕt cÊp 4<color><enter>CÊp 4 LuyÖn L« ThiÕt, cã thÓ tinh luyÖn thuéc tİnh më khãa trang bŞ 4 sao		ThÇn bİ	\script\equip_feed\item_equip_feed_reset_unlock.lua	1	0	1							
LuyÖn L« ThiÕt cÊp 5	2	1	30531	1	0	2000												\image\item\other\5¼¶Á¶Â¯Ìúa1.spr	\image\item\other\5¼¶Á¶Â¯Ìúa0.spr	<color=gold>LuyÖn L« ThiÕt cÊp 5<color><enter>CÊp 5 LuyÖn L« ThiÕt, cã thÓ tinh luyÖn thuéc tİnh më khãa trang bŞ 5 sao		ThÇn bİ	\script\equip_feed\item_equip_feed_reset_unlock.lua	1	0	1							
LuyÖn L« ThiÕt cÊp 6	2	1	30532	1	0	2000												\image\item\other\6¼¶Á¶Â¯Ìúa1.spr	\image\item\other\6¼¶Á¶Â¯Ìúa0.spr	<color=gold>LuyÖn L« ThiÕt cÊp 6<color><enter>CÊp 6 LuyÖn L« ThiÕt, cã thÓ tinh luyÖn thuéc tİnh më khãa trang bŞ 6 sao		ThÇn bİ	\script\equip_feed\item_equip_feed_reset_unlock.lua	1	0	1							
ThiÕt Tinh cÊp 1	2	1	30533	1	0	10												\image\item\other\ormeta_001a1.spr	\image\item\other\ormeta_001a0.spr	<color=gold>ThiÕt Tinh cÊp 1<color><enter>ThiÕt Tinh cÊp 1, cã thÓ d­ìng thµnh trang bŞ cung cÊp sè l­îng nhá kinh nghiÖm		ThÇn bİ	\script\equip_feed\item_equip_feed.lua	1;1	0	1				1			5
ThiÕt Tinh cÊp 2	2	1	30534	1	0	10												\image\item\other\meta_001a1.spr	\image\item\other\meta_001a0.spr	<color=gold>ThiÕt Tinh cÊp 2<color><enter>ThiÕt Tinh cÊp 2, cã thÓ d­ìng thµnh trang bŞ cung cÊp mét sè kinh nghiÖm		ThÇn bİ	\script\equip_feed\item_equip_feed.lua	1;1	0	1				2			6
ThiÕt Tinh cÊp 3	2	1	30535	1	0	10												\image\item\other\meta_003a1.spr	\image\item\other\meta_003a0.spr	<color=gold>ThiÕt Tinh cÊp 3<color><enter>ThiÕt Tinh cÊp 3, cã thÓ d­ìng thµnh trang bŞ cung cÊp sè l­îng lín kinh nghiÖm		ThÇn bİ	\script\equip_feed\item_equip_feed.lua	1;1	0	1				3			7
TÈy T©m Th¹ch Kho¸ng	2	1	30536	1	0	2000												\image\item\other\ormeta_012a1.spr	\image\item\other\ormeta_012a0.spr	<color=gold>TÈy T©m Th¹ch Kho¸ng<color><enter>TÈy T©m Th¹ch Kho¸ng, cã thÓ nhËn ®­îc c¸c lo¹i cÊp ®é TÈy T©m Th¹ch cÇn ph¶i dïng Bİ Ng©n To¶n ( Ngù C¸c cã b¸n) ®Ó më		ThÇn bİ	\script\missions\kuafu_battle\item\item_xixinshi_park.lua	1	0	1							
LuyÖn L« ThiÕt Kho¸ng	2	1	30537	1	0	2000												\image\item\other\ºÚ½ğa1.spr	\image\item\other\ºÚ½ğa0.spr	<color=gold>LuyÖn L« ThiÕt Kho¸ng<color><enter>LuyÖn L« ThiÕt Kho¸ng, cã thÓ nhËn ®­îc c¸c lo¹i cÊp ®é LuyÖn L« ThiÕt, cÇn ph¶i dïng Bİ Ng©n Chïy ( Ngù C¸c cã b¸n) ®Ó më		ThÇn bİ	\script\missions\kuafu_battle\item\item_lianlutie_park.lua	1	0	1							
Bİ Ng©n To¶n	2	1	30538	1	0	100												\image\item\other\yinzhen_a1.spr	\image\item\other\yinzhen_a0.spr	<color=gold>Bİ Ng©n To¶n<color><enter>C«ng cô dïng ®Ò më ra TÈy T©m Th¹ch Kho¸ng nhËn ®­îc TÈy T©m Th¹ch		ThÇn bİ		1	0	1							
Bİ Ng©n Chïy	2	1	30539	1	0	100												\image\item\cloth\tool_003a1.spr	\image\item\cloth\tool_003a0.spr	<color=gold>Bİ Ng©n Chïy<color><enter>C«ng cô dïng ®Ò më ra LuyÖn L« ThiÕt Kho¸ng nhËn ®­îc LuyÖn L« ThiÕt		ThÇn bİ		1	0	1							
LÔ Bao Phiªn B¶n Míi	2	1	30540	1	0	10												\image\item\other\ºìÉ«¸ß¼¶°ü¹üa1.spr	\image\item\other\ºìÉ«¸ß¼¶°ü¹üa0.spr	<color=gold>LÔ Bao Phiªn B¶n Míi<color><enter>NhÊn ph¶i sö dông LÔ Bao Phiªn B¶n Míi, tiªu hao 200 vµng, nhËn ®­îc LÔ Bao N©ng CÊp Phiªn B¶n Míi		ThÇn bİ	\script\online\collect_card\item\item_zlppark_compose.lua	1	2	1							
LÔ bao N©ng CÊp Phiªn B¶n Míi	2	1	30541	1	0	10												\image\item\other\Ê¥µ®ÀñÎï_36.spr	\image\item\other\Ê¥µ®ÀñÎï_80.spr	<color=gold>LÔ bao N©ng CÊp Phiªn B¶n Míi<color><enter>NhÊn ph¶i sö dông LÔ Bao N©ng CÊp Phiªn B¶n Míi, tiªu hao 200 vµng, nhËn ®­îc trang bŞ vµ sè l­îng lín danh väng		ThÇn bİ	\script\online\collect_card\item\item_zlppark_upgrade.lua	1	2	1							
Tói Huy Ch­¬ng Dòng SÜ	2	1	30542	2	30000	1												\image\item\other\ÈÙÒ«Ö®ÒøÅÆºĞa1.spr	\image\item\other\ÈÙÒ«Ö®ÒøÅÆºĞa0.spr	<color=gold>Tói Huy Ch­¬ng Dòng SÜ<color><enter>Tói Huy Ch­¬ng Dòng SÜ sau khi më ra cã thÓ nhËn ®­îc huy ch­¬ng 1-3 sao		ThÇn bİ	\script\missions\kuafu_battle\item\item_ys_park.lua	1	2	1							
Tói Huy Ch­¬ng Anh Hïng	2	1	30543	2	60000	1												\image\item\other\ÈÙÒ«Ö®½ğÅÆºĞa1.spr	\image\item\other\ÈÙÒ«Ö®½ğÅÆºĞa0.spr	<color=gold>Tói Huy Ch­¬ng Anh Hïng<color><enter>Tói Huy Ch­¬ng Anh Hïng sau khi më ra cã thÓ nhËn ®­îc huy ch­¬ng 1-3 sao vµ bé huy ch­¬ng ngò hµnh 3 sao		ThÇn bİ	\script\missions\kuafu_battle\item\item_yx_park.lua	1	2	1							
Tói Trang BŞ Kim Xµ Cuång Vò	2	1	30544	20	0	1												\image\item\other\ÀñºĞ_36.spr	\image\item\other\ÀñºĞ_80.spr	<color=gold>Tói Trang BŞ Kim Xµ Cuång Vò<color><enter>Më ra cã thÓ nhËn ®­îc huy ch­¬ng, phi phong, giµy 1-3 sao vµ bé trang bŞ ngò hµnh 3 sao		ThÇn bİ	\script\missions\kuafu_battle\item\item_jskw_park.lua	1	0	1							
§å Ch¬i	2	1	30545	1	0	2000												\image\item\other\Íæ¾ß36.spr	\image\item\other\Íæ¾ß80.spr	<color=gold>§å Ch¬i<color><enter>Quµ 1/6		ThÇn bİ		1	0	0							
Tói Quµ	2	1	30546	2	0	2000												\image\item\other\Àñ°ü36.spr	\image\item\other\Àñ°ü80.spr	<color=gold>Tói Quµ<color><enter>Quµ 1/6		ThÇn bİ		1	0	0							
Quµ 1/6	2	1	30547	1	0	2000												\image\item\other\61ÀñÎï36.spr	\image\item\other\61ÀñÎï80.spr	<color=gold>Quµ 1/6<color><enter>Quµ 1/6<enter><color=Gold> (Sau 24:00 ngµy 14 th¸ng 7 n¨m 2013 kh«ng thÓ sö dông)		ThÇn bİ	\script\online_activites\head\vn_activity_item.lua	1	0	1							
KÑo B«ng	2	1	30548	1	0	2000												\image\item\other\ÃŞ»¨ÌÇ36.spr	\image\item\other\ÃŞ»¨ÌÇ80.spr	<color=gold>KÑo B«ng<color><enter>Quµ 1/6<enter><color=Gold> (Sau 24:00 ngµy 14 th¸ng 7 n¨m 2013 kh«ng thÓ sö dông)		ThÇn bİ	\script\online_activites\head\vn_activity_item.lua	1	0	1							
DŞch C©n §an	2	1	30549	1	0	1												\image\item\usable\ÓñºâĞĞÔÆµ¤a1.spr	\image\item\usable\ÓñºâĞĞÔÆµ¤a0.spr	<color=gold>DŞch C©n §an<color><enter>VËt phÈm quı hiÕm cã thÓ tÈy ®iÓm ch©n khİ (nhÊn ph¶i sö dông)			\script\meridian\item_meridian_restore.lua	1	0	1							
Giá Tr¸i C©y	2	1	30550	1	0	2000												\image\item\other\Ë®¹ûÀº32.spr	\image\item\other\Ë®¹ûÀº80.spr	<color=gold>Giá Tr¸i C©y<color><enter>VËt phÈm th¸ng 7		ThÇn bİ		1	0	0							
S÷a TiÖt Trïng	2	1	30551	1	0	2000												\image\item\other\¸ßÎÂÃğ¾úÄÌ32.spr	\image\item\other\¸ßÎÂÃğ¾úÄÌ80.spr	<color=gold>S÷a TiÖt Trïng<color><enter>VËt phÈm th¸ng 7		ThÇn bİ		1	0	0							
