Tªn thó c­ìi	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	Phßng ngù (Néi, ngo¹i)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè lç tèi ®a	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã thÓ giao dŞch hay kh«ng (0 cã thÓ, 1 kh«ng thÓ giao dŞch, 2 cã thÓ giao dŞch cã thÓ b¸n shop, 3 cã thÓ giao dŞch kh«ng thÓ b¸n shop, 4 khãa sau khi trang bŞ cã thÓ b¸n shop, 5 khãa sau khi trang bŞ kh«ng thÓ b¸n shop)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u 4	Phİ	Column1
Kim Ngäc T­êng NhuÖ Tiªn H¹c	0	105	195	1000	0	0	2500		state_move_speed_percent_add	800;223				10				\image\item\horse\ÏÉº×4a1.spr	\image\item\horse\ÏÉº×4a0.spr	<color=gold>Kim Ngäc T­êng NhuÖ Tiªn H¹c<color><enter>T­¬ng truyÒn Kú L©n cña Tiªn Nh©n, t­îng tr­ng cho C¸t T­êng Nh­ . Th©n kho¸c Kim Loan B¹ch Ngäc ChiÕn Gi¸p, kh¾p ng­êi ®Çy Khİ C¸t NhuÖ ®Õn nh©n gian, ®Ó t×m ng­êi h÷u duyªn.	½ğÓñÏéÈğÏÉº×	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Bİch Yªn KiÕm	0	105	196	1000	0	0	2500		state_move_speed_percent_add	800;224				10				\image\item\horse\±ÌÓñº®ÑÌa1.spr	\image\item\horse\±ÌÓñº®ÑÌa0.spr	<color=gold>Bİch Yªn KiÕm<color><enter>§ªm qua giã thu ®Ïo cµnh, mét m×nh lÇu cao, ng¾m ch©n trêi xa th¼m. (TriÖu håi Bİch Yªn KiÕm, cã thÓ c­ìi kiÕm bay lªn)	±ÌÓñº®ÑÌ½£	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Long T­êng KiÕm	0	105	197	1000	0	0	2500		state_move_speed_percent_add	800;225				10				\image\item\horse\ÁúÔ¨»ØÏèa1.spr	\image\item\horse\ÁúÔ¨»ØÏèa0.spr	<color=gold>Long T­êng KiÕm<color><enter>C­ìi rång bay l­în, cê xİ rîp trêi, xe tiªn lÊp l¸nh. (TriÖu håi Long T­êng KiÕm, cã thÓ c­ìi kiÕm bay lªn)	ÁúÔ¨»ØÏè½£	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Méc Ng­u L­u M·	0	105	198	1000	0	0	2500		state_move_speed_percent_add	800;226				10				\image\item\horse\Ä¾Å£Á÷Âía1.spr	\image\item\horse\Ä¾Å£Á÷Âía0.spr	<color=gold>Méc Ng­u L­u M·<color><enter>Mét m×nh ®i vµi m­¬i dÆm, lïa theo bÇy ba m­¬i dÆm.	Ä¾Å£Á÷Âí	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
TuyÕt Nghª	0	105	199	1000	0	0	2500		state_move_speed_percent_add	800;227				10				\image\item\horse\Ê¨×Ó1a1.spr	\image\item\horse\Ê¨×Ó1a0.spr	<color=gold>TuyÕt Nghª<color><enter>VÎ ngoµi nh­ s­ tö, toµn th©n tr¾ng muèt, cã thÓ chØ huy mu«n thó.	Ñ©â¥	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Phong Nghª	0	105	200	1000	0	0	2500		state_move_speed_percent_add	800;228				10				\image\item\horse\Ê¨×Ó2a1.spr	\image\item\horse\Ê¨×Ó2a0.spr	<color=gold>Phong Nghª<color><enter>VÎ ngoµi nh­ s­ tö, toµn th©n tr¾ng muèt, cã thÓ chØ huy mu«n thó.	·çâ¥	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Linh Nghª	0	105	201	1000	0	0	2500		state_move_speed_percent_add	800;229				10				\image\item\horse\Ê¨×Ó3a1.spr	\image\item\horse\Ê¨×Ó3a0.spr	<color=gold>Linh Nghª<color><enter>VÎ ngoµi nh­ s­ tö, toµn th©n tr¾ng muèt, cã thÓ chØ huy mu«n thó.	Áéâ¥	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
ChiÕn Nghª	0	105	202	1000	0	0	2500		state_move_speed_percent_add	800;230				10				\image\item\horse\Ê¨×Ó4a1.spr	\image\item\horse\Ê¨×Ó4a0.spr	<color=gold>ChiÕn Nghª<color><enter>VÎ ngoµi nh­ s­ tö, toµn th©n tr¾ng muèt, cã thÓ chØ huy mu«n thó.	Õ½â¥	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
B¸ch ChiÕn Kim Gi¸p	0	105	203	1000	0	0	2500		state_move_speed_percent_add	800;231				10				\image\item\horse\Ê¨×Ó6a1.spr	\image\item\horse\Ê¨×Ó6a0.spr	<color=gold>B¸ch ChiÕn Kim Gi¸p<color><enter>VÎ ngoµi nh­ s­ tö, m×nh mang gi¸p vµng, kinh nghiÖm chiÕn ®Êu ®Çy m×nh.	»Æâ¥	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
H¾c Gi¸p ChiÕn Nghª	0	105	204	1000	0	0	2500		state_move_speed_percent_add	800;232				10				\image\item\horse\Ê¨×Ó5a1.spr	\image\item\horse\Ê¨×Ó5a0.spr	<color=gold>H¾c Gi¸p ChiÕn Nghª<color><enter>VÎ ngoµi nh­ s­ tö, toµn th©n tr¾ng muèt, m×nh mang gi¸p ®en, oai vÖ dÉn ®Çu mu«ng thó.	°×â¥	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
ChiÕn Lang	0	105	205	1000	0	0	2500		state_move_speed_percent_add	800;233				10				\image\item\horse\Õ½ÀÇa1.spr	\image\item\horse\Õ½ÀÇa0.spr	<color=gold>ChiÕn Lang<color><enter>Th©n lÎ tung hoµnh n¬i ®Êt tuyÕt, mét m×nh gäi tr¨ng ®Ønh giã m©y.	Õ½ÀÇ	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
B¹ch Lang	0	105	206	1000	0	0	2500		state_move_speed_percent_add	800;234				10				\image\item\horse\°×ÀÇa1.spr	\image\item\horse\°×ÀÇa0.spr	<color=gold>B¹ch Lang<color><enter>Th©n lÎ tung hoµnh n¬i ®Êt tuyÕt, mét m×nh gäi tr¨ng ®Ønh giã m©y.	°×ÀÇ	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
B¹ch Tª	0	105	207	1000	0	0	2500		state_move_speed_percent_add	800;235				10				\image\item\horse\°×Ï¬Å£a1.spr	\image\item\horse\°×Ï¬Å£a0.spr	<color=gold>B¹ch Tª<color><enter>Th©n h×nh ®å sé, rÊt cã khİ thÕ.	Ï¬Å£	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Hång Quang KiÕm	0	105	208	1000	0	0	2500		state_move_speed_percent_add	800;236				10				\image\item\horse\·É½£1a1.spr	\image\item\horse\·É½£1a0.spr	<color=gold>Hång Quang KiÕm<color><enter>LÊp l¸nh r¸ng hång, vò ®iÖu tiªn sa. (TriÖu håi Hång Quang KiÕm, cã thÓ c­ìi kiÕm bay lªn)	·É½£1	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Phong S­¬ng KiÕm	0	105	209	1000	0	0	2500		state_move_speed_percent_add	800;237				10				\image\item\horse\·É½£2a1.spr	\image\item\horse\·É½£2a0.spr	<color=gold>Phong S­¬ng KiÕm<color><enter>Giã thæi s­¬ng s¾c l¹nh, s¸ng soi bãng tr¨ng thanh. (TriÖu håi Phong S­¬ng KiÕm, cã thÓ c­ìi kiÕm bay lªn)	·É½£2	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
T¬ Vµng ¸nh B¹c	0	105	210	100	0	0	2500		state_move_speed_percent_add	800;238				10				\image\item\horse\½ğË¿Òø±»a1.spr	\image\item\horse\½ğË¿Òø±»a0.spr	<color=gold>T¬ Vµng ¸nh B¹c<color><enter>MÌo ch¬i tuyÕt tr¾ng, giã vên bãng hoa.	ÃÈÃ¨	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
ThiÕu D­¬ng ThÊt Tinh KiÕm	0	105	10107	1000	0	0	2500		state_move_speed_percent_add	800;239				10				\image\item\other\ÉÙÑôÆßĞÇ½£a1.spr	\image\item\other\ÉÙÑôÆßĞÇ½£a0.spr	<color=gold>ThiÕu D­¬ng ThÊt Tinh KiÕm<color><enter>TriÖu håi ThiÕu D­¬ng ThÊt Tinh KiÕm, cã thÓ khiÕn Ngù KiÕm Phi Hµnh <color=yellow> (®©y lµ thó c­ìi ®Æc thï, khi c­ìi kh«ng thÓ sö dông kü n¨ng)	ÉÙÑôÆßĞÇ½£	M· Bµi	\script\item\yujian.lua	7	1	1		10000	999
V¨n Sö ThÊt Qu©n KiÕm	0	105	10108	1000	0	0	2500		state_move_speed_percent_add	800;240				10				\image\item\other\ÎÄÊ·Æß¾ı½£a1.spr	\image\item\other\ÎÄÊ·Æß¾ı½£a0.spr	<color=gold>V¨n Sö ThÊt Qu©n KiÕm<color><enter>TriÖu håi V¨n Sö ThÊt Qu©n KiÕm, cã thÓ khiÕn Ngù KiÕm Phi Hµnh <color=yellow> (®©y lµ thó c­ìi ®Æc thï, khi c­ìi kh«ng thÓ sö dông kü n¨ng)	ÎÄÊ·Æß¾ı½£	M· Bµi	\script\item\yujian.lua	7	1	1		10000	999
C«n H­ Ngäc Dao KiÕm	0	105	10109	1000	0	0	2500		state_move_speed_percent_add	800;241				10				\image\item\other\À¥ĞéÓñÑş½£a1.spr	\image\item\other\À¥ĞéÓñÑş½£a0.spr	<color=gold>C«n H­ Ngäc Dao KiÕm<color><enter>TriÖu håi C«n H­ Ngäc Dao KiÕm, cã thÓ khiÕn Ngù KiÕm Phi Hµnh <color=yellow> (®©y lµ thó c­ìi ®Æc thï, khi c­ìi kh«ng thÓ sö dông kü n¨ng)	À¥ĞéÓñÑş½£	M· Bµi	\script\item\yujian.lua	7	1	1		10000	999
Tiªn Du KiÕm	0	105	10110	1000	0	0	2500		state_move_speed_percent_add	800;242				10				\image\item\other\ÏÉÓÎ½£a1.spr	\image\item\other\ÏÉÓÎ½£a0.spr	<color=gold>Tiªn Du KiÕm<color><enter>TriÖu håi Tiªn Du KiÕm, cã thÓ khiÕn Ngù KiÕm Phi Hµnh <color=yellow> (®©y lµ thó c­ìi ®Æc thï, khi c­ìi kh«ng thÓ sö dông kü n¨ng)	ÏÉÓÎ½£	M· Bµi	\script\item\yujian.lua	7	1	1		10000	999
Th¸i Thanh V« TrÇn KiÕm	0	105	10111	1000	0	0	2500		state_move_speed_percent_add	800;243				10				\image\item\other\Ì«ÇåÎŞ³¾½£a1.spr	\image\item\other\Ì«ÇåÎŞ³¾½£a0.spr	<color=gold>Th¸i Thanh V« TrÇn KiÕm<color><enter>TriÖu håi Th¸i Thanh V« TrÇn KiÕm, cã thÓ khiÕn Ngù KiÕm Phi Hµnh <color=yellow> (®©y lµ thó c­ìi ®Æc thï, khi c­ìi kh«ng thÓ sö dông kü n¨ng)	Ì«ÇåÎŞ³¾½£	M· Bµi	\script\item\yujian.lua	7	1	1		10000	999
Tö Ngäc Tr­êng Phong	0	105	10112	1000	0	0	2500		state_move_speed_percent_add	800;244				10				\image\item\other\×ÏÓñ³¤·æa1.spr	\image\item\other\×ÏÓñ³¤·æa0.spr	<color=gold>Tö Ngäc Tr­êng Phong<color><enter>TriÖu håi Tö Ngäc Tr­êng Phong, cã thÓ khiÕn Ngù KiÕm Phi Hµnh <color=yellow> (®©y lµ thó c­ìi ®Æc thï, khi c­ìi kh«ng thÓ sö dông kü n¨ng)	×ÏÓñ³¤·æ	M· Bµi	\script\item\yujian.lua	7	1	1		10000	999
Hæ Vµng C¸t T­êng (§á)	0	105	10115	1000	0	0	2500		state_move_speed_percent_add	800;245				10				\image\item\horse\¼ªÏé»Æ½ğ»¢£¨ºì£©a1.spr	\image\item\horse\¼ªÏé»Æ½ğ»¢£¨ºì£©a0.spr	<color=gold>Hæ Vµng C¸t T­êng (§á)<color><enter>TiÕng vang nói rõng, bãng r¹p c©y cá <color=yellow>(Thó c­ìi ®Æc biÖt, khi c­ìi kh«ng thÓ dïng kü n¨ng)	¼ªÏé»Æ½ğ»¢£¨ºì£©	M· Bµi	\script\item\yujian.lua	7	4	1		10000	999
Hæ Hoµng Kim C¸t T­êng (Vµng)	0	105	10116	1000	0	0	2500		state_move_speed_percent_add	800;246				10				\image\item\horse\¼ªÏé»Æ½ğ»¢£¨»Æ£©a1.spr	\image\item\horse\¼ªÏé»Æ½ğ»¢£¨»Æ£©a0.spr	<color=gold>Hæ Hoµng Kim C¸t T­êng (Vµng)<color><enter>TiÕng vang nói rõng, bãng r¹p c©y cá <color=yellow>(Thó c­ìi ®Æc biÖt, khi c­ìi kh«ng thÓ dïng kü n¨ng)	¼ªÏé»Æ½ğ»¢£¨»Æ£©	M· Bµi	\script\item\yujian.lua	7	4	1		10000	999
Hæ Vµng C¸t T­êng (§en)	0	105	10117	1000	0	0	2500		state_move_speed_percent_add	800;247				10				\image\item\horse\¼ªÏé»Æ½ğ»¢£¨ºÚ£©a1.spr	\image\item\horse\¼ªÏé»Æ½ğ»¢£¨ºÚ£©a0.spr	<color=gold>Hæ Vµng C¸t T­êng (§en)<color><enter>TiÕng vang nói rõng, bãng r¹p c©y cá <color=yellow>(Thó c­ìi ®Æc biÖt, khi c­ìi kh«ng thÓ dïng kü n¨ng)	¼ªÏé»Æ½ğ»¢£¨ºÚ£©	M· Bµi	\script\item\yujian.lua	7	4	1		10000	999
Hæ Vµng C¸t T­êng (Tr¾ng)	0	105	10118	1000	0	0	2500		state_move_speed_percent_add	800;248				10				\image\item\horse\¼ªÏé»Æ½ğ»¢£¨°×£©a1.spr	\image\item\horse\¼ªÏé»Æ½ğ»¢£¨°×£©a0.spr	<color=gold>Hæ Vµng C¸t T­êng (Tr¾ng)<color><enter>TiÕng vang nói rõng, bãng r¹p c©y cá <color=yellow>(Thó c­ìi ®Æc biÖt, khi c­ìi kh«ng thÓ dïng kü n¨ng)	¼ªÏé»Æ½ğ»¢£¨°×£©	M· Bµi	\script\item\yujian.lua	7	4	1		10000	999
Kim Gi¸p Bİch L©n ThÇn Léc	0	105	10119	1000	0	0	2500		state_move_speed_percent_add	800;249				10				\image\item\horse\Ã·»¨Â¹£¨ºì£©a1.spr	\image\item\horse\Ã·»¨Â¹£¨ºì£©a0.spr	<color=gold>Kim Gi¸p Bİch L©n ThÇn Léc<color><enter>§©y lµ lo¹i thó mµ c¸c th­ sinh sÜ tö ®Òu rÊt ­a thİch. <color=yellow> (lo¹i thó c­ìi ®Æc thï nµy, khi c­ìi th× kh«ng thÓ sö dông kü n¨ng)	Ã·»¨Â¹£¨ºì£©	M· Bµi	\script\item\horse.lua	7	2	1		10000	999
Kim Gi¸p Xİch L©n ThÇn Léc	0	105	10120	1000	0	0	2500		state_move_speed_percent_add	800;250				10				\image\item\horse\Ã·»¨Â¹£¨»Æ£©a1.spr	\image\item\horse\Ã·»¨Â¹£¨»Æ£©a0.spr	<color=gold>Kim Gi¸p Xİch L©n ThÇn Léc<color><enter>§©y lµ lo¹i thó mµ c¸c th­ sinh sÜ tö ®Òu rÊt ­a thİch. <color=yellow> (lo¹i thó c­ìi ®Æc thï nµy, khi c­ìi th× kh«ng thÓ sö dông kü n¨ng)	Ã·»¨Â¹£¨»Æ£©	M· Bµi	\script\item\horse.lua	7	2	1		10000	999
Kim Gi¸p Tö L©n ThÇn Léc	0	105	10121	1000	0	0	2500		state_move_speed_percent_add	800;251				10				\image\item\horse\Ã·»¨Â¹£¨ºÚ£©a1.spr	\image\item\horse\Ã·»¨Â¹£¨ºÚ£©a0.spr	<color=gold>Kim Gi¸p Tö L©n ThÇn Léc<color><enter>§©y lµ lo¹i thó mµ c¸c th­ sinh sÜ tö ®Òu rÊt ­a thİch. <color=yellow> (lo¹i thó c­ìi ®Æc thï nµy, khi c­ìi th× kh«ng thÓ sö dông kü n¨ng)	Ã·»¨Â¹£¨ºÚ£©	M· Bµi	\script\item\horse.lua	7	2	1		10000	999
Kim Gi¸p Lam L©n ThÇn Léc	0	105	10122	1000	0	0	2500		state_move_speed_percent_add	800;252				10				\image\item\horse\Ã·»¨Â¹£¨°×£©a1.spr	\image\item\horse\Ã·»¨Â¹£¨°×£©a0.spr	<color=gold>Kim Gi¸p Lam L©n ThÇn Léc<color><enter>§©y lµ lo¹i thó mµ c¸c th­ sinh sÜ tö ®Òu rÊt ­a thİch. <color=yellow> (lo¹i thó c­ìi ®Æc thï nµy, khi c­ìi th× kh«ng thÓ sö dông kü n¨ng)	Ã·»¨Â¹£¨°×£©	M· Bµi	\script\item\horse.lua	7	2	1		10000	999
ThuyÒn Rång Trªn C¹n	0	105	10139	1000	0	0	2500		state_move_speed_percent_add	800;253				10			6	\image\item\horse\ÁúÖÛ_a1.spr	\image\item\horse\ÁúÖÛ_a0.spr	<color=gold>ThuyÒn Rång Trªn C¹n<color><enter>ThuyÒn rång thÇn kú, cã thÓ di chuyÓn trªn c¹n dÔ dµng!	ÁúÖÛ	M· Bµi	\script\item\horse.lua	1	4	1		10000	999
Kú l©n	0	105	30000	1000	0	0	688		state_move_speed_percent_add	800;254				10				\image\item\horse\ÄêÊŞa1.spr	\image\item\horse\ÄêÊŞa0.spr	<color=gold>Kú l©n<color><enter>Kú L©n t­îng tr­ng cho may m¾n, tèc ®é di chuyÓn 100%	ÄêÊŞ	M· Bµi	\script\item\horse.lua	3				6	
Kim Kú L©n	0	105	30001	1000	0	0	800		state_move_speed_percent_add	800;255				110				\image\item\horse\longjin_.spr	\image\item\horse\longjin.spr	<color=gold>Kim Kú L©n<color><enter>Kim Kú L©n, t­îng tr­ng phó quı, giµu sang, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi.	½ğ÷è÷ë	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4					
Thñy Kú LÇn	0	105	30002	1000	0	0	800		state_move_speed_percent_add	800;256				110				\image\item\horse\Óñ÷è÷ëa1.spr	\image\item\horse\Óñ÷è÷ëa0.spr	<color=gold>Thñy Kú LÇn<color><enter>Thñy Kú L©n, t­îng tr­ng hßa b×nh, thŞnh v­îng, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi	Ë®÷è÷ë	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4					
Ngäc Kú L©n	0	105	30003	1000	0	0	800		state_move_speed_percent_add	800;257				110				\image\item\horse\longlv_.spr	\image\item\horse\longlv.spr	<color=gold>Ngäc Kú L©n<color><enter>Ngäc Kú L©n, t­îng tr­ng cao nh·, may m¾n, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi	Óñ÷è÷ë	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4					
Háa Kú L©n	0	105	30004	1000	0	0	800		state_move_speed_percent_add	800;258				110				\image\item\horse\»ğ÷è÷ëa1.spr	\image\item\horse\»ğ÷è÷ëa0.spr	<color=gold>Háa Kú L©n<color><enter>Háa Kú L©n, t­îng tr­ng qu©n uy, quyÒn lùc, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi	»ğ÷è÷ë	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4					
Cæ D­¬ng Thó	0	105	30005	1000	0	0	800		state_move_speed_percent_add	800;259				110				\image\item\horse\qiling_.spr	\image\item\horse\qiling.spr	<color=gold>Cæ D­¬ng Thó<color><enter>Cæ D­¬ng Thó, linh thó truyÒn thuyÕt trong Cæ D­¬ng §éng víi søc m¹nh khuynh ®¶o thÇn th«ng, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi	¹ÅÑôÊŞ	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4					
Kim Mao Ng­u	0	105	30006	1000	0	0	800		state_move_speed_percent_add	800;260				110				\image\item\horse\niou_huang_.spr	\image\item\horse\niou_huang.spr	<color=gold>Kim Mao Ng­u<color><enter>Kim Mao Ng­u, th©n phñ l«ng mao khiÕt b¹ch hoang hoµng kim, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi	êóÅ£3	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4					
Hång Mao Ng­u	0	105	30007	1000	0	0	800		state_move_speed_percent_add	800;261				110				\image\item\horse\niou_hong_.spr	\image\item\horse\niou_hong.spr	<color=gold>Hång Mao Ng­u<color><enter>Hång Mao Ng­u, th©n phñ l«ng mao khiÕt b¹ch hång háa, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi	êóÅ£	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4					
Lam Mao Ng­u	0	105	30008	1000	0	0	800		state_move_speed_percent_add	800;262				110				\image\item\horse\niou_lan_.spr	\image\item\horse\niou_lan.spr	<color=gold>Lam Mao Ng­u<color><enter>Lam Mao Ng­u, th©n phñ l«ng mao lam h¶i, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi	êóÅ£2	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4					
B¹ch Hæ	0	105	30009	1000	0	0	800		state_move_speed_percent_add	800;263				110				\image\item\horse\baihu_.spr	\image\item\horse\baihu.spr	<color=gold>B¹ch Hæ<color><enter>Hæ Tr¾ng, tr©n thó quı hiÕm thÕ gian khã gÆp, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi	»¢3	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4					
Hoµng Hæ	0	105	30010	1000	0	0	800		state_move_speed_percent_add	800;264				110				\image\item\horse\»Æ»¢a1.spr	\image\item\horse\»Æ»¢a0.spr	<color=gold>Hoµng Hæ<color><enter>Hæ Vµng, chóa tÓ s¬n l©m, v¹n thó chi v­¬ng, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi	»¢2	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4					
H¾c Hæ	0	105	30011	1000	0	0	800		state_move_speed_percent_add	800;265				110				\image\item\horse\ºÚ»¢a1.spr	\image\item\horse\ºÚ»¢a0.spr	<color=gold>H¾c Hæ<color><enter>Hæ §en, th­îng cæ thÇn thó bŞ Hæ ThÇn ®µy ¶i ®Şa giíi, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi	»¢1	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4					
B¸o Tr¾ng	0	105	30012	1000	0	0	800		state_move_speed_percent_add	800;266				110				\image\item\horse\baobai_.spr	\image\item\horse\baobai.spr	<color=gold>B¸o Tr¾ng<color><enter>B¸o Tr¾ng, chóa tÓ vïng nói tuyÕt l«ng vò tr¾ng xãa, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi	±ª×Ó2	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4					
B¸o §en	0	105	30013	1000	0	0	800		state_move_speed_percent_add	800;267				110				\image\item\horse\ºÚ±ªa1.spr	\image\item\horse\ºÚ±ªa0.spr	<color=gold>B¸o §en<color><enter>B¸o §en, ®en nh­ mùc nhung, tèc ®é kinh ng­êi,  nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi	±ª×Ó	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4					
B¸o Vµng	0	105	30014	1000	0	0	800		state_move_speed_percent_add	800;268				110				\image\item\horse\baohuang_.spr	\image\item\horse\baohuang.spr	<color=gold>B¸o Vµng<color><enter>Kim TiÒn B¸o, sinh sèng t¹i c¸c vïng nói s©u th¼m hoang s¬, uy dòng phi th­êng, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi	±ª×Ó3	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4					
¤ V©n §¹p TuyÕt	0	105	30015	1000	0	0	800		state_move_speed_percent_add	800;269				110				\image\item\horse\mahei_.spr	\image\item\horse\mahei.spr	<color=gold>¤ V©n §¹p TuyÕt<color><enter>¤ V©n §¹p TuyÕt, th©n ®en vã b¹c, di chuyÓn tùa TuyÕt §iÓu Xuyªn V©n,  nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi	Âí19	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4					
§éc Gi¸c Thó	0	105	30016	1000	0	0	800		state_move_speed_percent_add	800;270				110				\image\item\horse\mabai_.spr	\image\item\horse\mabai.spr	<color=gold>§éc Gi¸c Thó<color><enter>§éc Gi¸c Thó, thÇn thó xinh ®Ñp thuÇn khiÕt, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi	Âí20	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4					
Kim Kú L©n B¶o B¶o	0	105	30017	1000	0	0	2500		state_move_speed_percent_add	800;271				10				\image\item\horse\longjin_.spr	\image\item\horse\longjin.spr	<color=gold>Kim Kú L©n B¶o B¶o<color><enter>Kim Kú L©n B¶o B¶o	½ğ÷è÷ë	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
Thñy Kú L©n  B¶o B¶o	0	105	30018	1000	0	0	2500		state_move_speed_percent_add	800;272				10				\image\item\horse\Óñ÷è÷ëa1.spr	\image\item\horse\Óñ÷è÷ëa0.spr	<color=gold>Thñy Kú L©n  B¶o B¶o<color><enter>Thñy Kú L©n  B¶o B¶o	Ë®÷è÷ë	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
Ngäc Kú L©n  B¶o B¶o	0	105	30019	1000	0	0	2500		state_move_speed_percent_add	800;273				10				\image\item\horse\longlv_.spr	\image\item\horse\longlv.spr	<color=gold>Ngäc Kú L©n  B¶o B¶o<color><enter>Ngäc Kú L©n  B¶o B¶o	Óñ÷è÷ë	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
Háa Kú L©n  B¶o B¶o	0	105	30020	1000	0	0	2500		state_move_speed_percent_add	800;274				10				\image\item\horse\»ğ÷è÷ëa1.spr	\image\item\horse\»ğ÷è÷ëa0.spr	<color=gold>Háa Kú L©n  B¶o B¶o<color><enter>Háa Kú L©n  B¶o B¶o	»ğ÷è÷ë	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
Cæ D­¬ng Thó  B¶o B¶o	0	105	30021	1000	0	0	2500		state_move_speed_percent_add	800;275				10				\image\item\horse\qiling_.spr	\image\item\horse\qiling.spr	<color=gold>Cæ D­¬ng Thó  B¶o B¶o<color><enter>Cæ D­¬ng Thó  B¶o B¶o	¹ÅÑôÊŞ	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
Kim Mao Ng­u B¶o B¶o	0	105	30022	1000	0	0	2500		state_move_speed_percent_add	800;276				10				\image\item\horse\niou_huang_.spr	\image\item\horse\niou_huang.spr	<color=gold>Kim Mao Ng­u B¶o B¶o<color><enter>Kim Mao Ng­u B¶o B¶o	êóÅ£3	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
Hång Mao Ng­u B¶o B¶o	0	105	30023	1000	0	0	2500		state_move_speed_percent_add	800;277				10				\image\item\horse\niou_hong_.spr	\image\item\horse\niou_hong.spr	<color=gold>Hång Mao Ng­u B¶o B¶o<color><enter>Hång Mao Ng­u B¶o B¶o	êóÅ£	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
