Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	Lùc phßng	PhÈm chÊt	L­u c	L­u d	L­u e	L­u f	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	Khi sö dông trang bŞ sÏ hiÓn thŞ tªn lo¹i h×nh	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	L­u ( Ch÷ sè)	Gi¸ trŞ
TuyÖt S¸t Thiªn V¨n	0	116	4060	0	0	4	10						1006	95				\image\item\wenshi\emb_cap19a1.spr	\image\item\wenshi\emb_cap19a0.spr	§­êng M«n - v¨n søc ®Çu cÊp 4		V¨n Søc-®Çu		4	1	1	6		999
TÕ ThÕ Thiªn V¨n	0	116	4080	0	0	5	10						1008	95				\image\item\wenshi\emb_cap20a1.spr	\image\item\wenshi\emb_cap20a0.spr	Nga Mi PhËt Gia - v¨n søc ®Çu cÊp 4		V¨n Søc-®Çu		4	1	1	8		999
Méng Mª Thiªn V¨n	0	116	4090	0	0	1	10						1009	95				\image\item\wenshi\emb_cap16a1.spr	\image\item\wenshi\emb_cap16a0.spr	Nga Mi Tôc Gia - v¨n søc ®Çu cÊp 4		V¨n Søc-®Çu		4	1	1	9		999
Oanh Thiªn Thiªn V¨n	0	116	4110	0	0	2	10						1011	95				\image\item\wenshi\emb_cap17a1.spr	\image\item\wenshi\emb_cap17a0.spr	C¸i Bang TŞnh y - v¨n søc ®Çu cÊp 4		V¨n Søc-®Çu		4	1	1	11		999
ChÊn §Şa Thiªn V¨n	0	116	4120	0	0	3	10						1012	95				\image\item\wenshi\emb_cap18a1.spr	\image\item\wenshi\emb_cap18a0.spr	C¸i Bang ¤ y - v¨n søc ®Çu cÊp 4		V¨n Søc-®Çu		4	1	1	12		999
§¹o T©m Thiªn V¨n	0	116	4140	0	0	4	10						1014	95				\image\item\wenshi\emb_cap19a1.spr	\image\item\wenshi\emb_cap19a0.spr	Vâ §ang §¹o Gia - v¨n søc ®Çu cÊp 4		V¨n Søc-®Çu		4	1	1	14		999
Liªn Ch©u Thiªn V¨n	0	116	4150	0	0	5	10						1015	95				\image\item\wenshi\emb_cap20a1.spr	\image\item\wenshi\emb_cap20a0.spr	Vâ §ang Tôc Gia - v¨n søc ®Çu cÊp 4		V¨n Søc-®Çu		4	1	1	15		999
Th«i Thµnh Thiªn V¨n	0	116	4170	0	0	1	10						1017	95				\image\item\wenshi\emb_cap16a1.spr	\image\item\wenshi\emb_cap16a0.spr	D­¬ng Gia Th­¬ng kş - v¨n søc ®Çu cÊp 4		V¨n Søc-®Çu		4	1	1	17		999
To¸i NguyÖt Thiªn V¨n	0	116	4180	0	0	2	10						1018	95				\image\item\wenshi\emb_cap17a1.spr	\image\item\wenshi\emb_cap17a0.spr	D­¬ng Gia Cung kş - v¨n søc ®Çu cÊp 4		V¨n Søc-®Çu		4	1	1	18		999
§éc Chu Thiªn V¨n	0	116	4200	0	0	3	10						1020	95				\image\item\wenshi\emb_cap18a1.spr	\image\item\wenshi\emb_cap18a0.spr	Ngò §éc Tµ HiÖp - v¨n søc ®Çu cÊp 4		V¨n Søc-®Çu		4	1	1	20		999
HuyÕt C¸p Thiªn V¨n	0	116	4210	0	0	4	10						1021	95				\image\item\wenshi\emb_cap19a1.spr	\image\item\wenshi\emb_cap19a0.spr	Ngò §éc Cæ S­ - v¨n søc ®Çu cÊp 4		V¨n Søc-®Çu		4	1	1	21		999
VÊn Thiªn Thiªn V¨n	0	116	4230	0	0	5	10						1023	95				\image\item\wenshi\emb_cap20a1.spr	\image\item\wenshi\emb_cap20a0.spr	C«n Lu©n Thiªn S­ - v¨n søc ®Çu cÊp 4		V¨n Søc-®Çu		4	1	1	23		999
ChiÕn Hån Thiªn V¨n	0	116	4250	0	0	1	10						1025	95				\image\item\wenshi\emb_cap16a1.spr	\image\item\wenshi\emb_cap16a0.spr	Minh Gi¸o Th¸nh ChiÕn - v¨n søc ®Çu cÊp 4		V¨n Søc-®Çu		4	1	1	25		999
Häa Lao Thiªn V¨n	0	116	4260	0	0	2	10						1026	95				\image\item\wenshi\emb_cap17a1.spr	\image\item\wenshi\emb_cap17a0.spr	Minh Gi¸o TrËn Binh - v¨n søc ®Çu cÊp 4		V¨n Søc-®Çu		4	1	1	26		999
HuyÕt KhÕ Thiªn V¨n	0	116	4270	0	0	3	10						1027	95				\image\item\wenshi\emb_cap18a1.spr	\image\item\wenshi\emb_cap18a0.spr	Minh Gi¸o HuyÕt Nh©n - v¨n søc ®Çu cÊp 4		V¨n Søc-®Çu		4	1	1	27		999
Kinh Hång Thiªn V¨n	0	116	4290	0	0	4	10						1029	95				\image\item\wenshi\emb_cap19a1.spr	\image\item\wenshi\emb_cap19a0.spr	Thóy Yªn Vò Tiªn - v¨n søc ®Çu cÊp 4		V¨n Søc-®Çu		4	1	1	29		999
L­u Ph­¬ng Thiªn V¨n	0	116	4300	0	0	5	10						1030	95				\image\item\wenshi\emb_cap20a1.spr	\image\item\wenshi\emb_cap20a0.spr	Thóy Yªn Linh N÷ - v¨n søc ®Çu cÊp 4		V¨n Søc-®Çu		4	1	1	30		999
Tr¶m ¸c Thiªn V¨n	0	116	4310	0	0	1	10						1031	95				\image\item\wenshi\emb_cap16a1.spr	\image\item\wenshi\emb_cap16a0.spr	§­êng M«n NhËm HiÖp - v¨n søc ®Çu cÊp 4		V¨n Søc-®Çu		4	1	1	31		999
KiÕm Duyªn Thiªn V¨n	0	116	4320	0	0	2	10						1032	95				\image\item\wenshi\emb_cap17a1.spr	\image\item\wenshi\emb_cap17a0.spr	C«n L«n KiÕm T«n - v¨n søc ®Çu cÊp 4		V¨n Søc-®Çu		4	1	1	32		999
V« Väng ChiÕn V¨n	0	113	4020	0	0	5	10						1002	95				\image\item\wenshi\emb_cloth20a1.spr	\image\item\wenshi\emb_cloth20a0.spr	ThiÕu L©m Tôc Gia - v¨n søc th­îng y cÊp 4		V¨n Søc-y		4	1	1	2		999
V« TrÇn ChiÕn V¨n	0	113	4030	0	0	1	10						1003	95				\image\item\wenshi\emb_cloth16a1.spr	\image\item\wenshi\emb_cloth16a0.spr	ThiÕu L©m ThiÒn T¨ng - v¨n søc th­îng y cÊp 4		V¨n Søc-y		4	1	1	3		999
V« CÊu ChiÕn V¨n	0	113	4040	0	0	2	10						1004	95				\image\item\wenshi\emb_cloth17a1.spr	\image\item\wenshi\emb_cloth17a0.spr	ThiÕu L©m Vâ T«ng - v¨n søc th­îng y cÊp 4		V¨n Søc-y		4	1	1	4		999
TuyÖt S¸t ChiÕn V¨n	0	113	4060	0	0	3	10						1006	95				\image\item\wenshi\emb_cloth18a1.spr	\image\item\wenshi\emb_cloth18a0.spr	§­êng M«n - v¨n søc th­îng y cÊp 4		V¨n Søc-y		4	1	1	6		999
TÕ ThÕ ChiÕn V¨n	0	113	4080	0	0	4	10						1008	95				\image\item\wenshi\emb_cloth19a1.spr	\image\item\wenshi\emb_cloth19a0.spr	Nga Mi PhËt Gia - v¨n søc th­îng y cÊp 4		V¨n Søc-y		4	1	1	8		999
Méng Mª ChiÕn V¨n	0	113	4090	0	0	5	10						1009	95				\image\item\wenshi\emb_cloth20a1.spr	\image\item\wenshi\emb_cloth20a0.spr	Nga Mi Tôc Gia - v¨n søc th­îng y cÊp 4		V¨n Søc-y		4	1	1	9		999
Oanh Thiªn ChiÕn V¨n	0	113	4110	0	0	1	10						1011	95				\image\item\wenshi\emb_cloth16a1.spr	\image\item\wenshi\emb_cloth16a0.spr	C¸i Bang TŞnh y - v¨n søc th­îng y cÊp 4		V¨n Søc-y		4	1	1	11		999
ChÊn §Şa ChiÕn V¨n	0	113	4120	0	0	2	10						1012	95				\image\item\wenshi\emb_cloth17a1.spr	\image\item\wenshi\emb_cloth17a0.spr	C¸i Bang ¤ y - v¨n søc th­îng y cÊp 4		V¨n Søc-y		4	1	1	12		999
§¹o T©m ChiÕn V¨n	0	113	4140	0	0	3	10						1014	95				\image\item\wenshi\emb_cloth18a1.spr	\image\item\wenshi\emb_cloth18a0.spr	Vâ §ang §¹o Gia - v¨n søc th­îng y cÊp 4		V¨n Søc-y		4	1	1	14		999
Liªn Ch©u ChiÕn V¨n	0	113	4150	0	0	4	10						1015	95				\image\item\wenshi\emb_cloth19a1.spr	\image\item\wenshi\emb_cloth19a0.spr	Vâ §ang Tôc Gia - v¨n søc th­îng y cÊp 4		V¨n Søc-y		4	1	1	15		999
Th«i Thµnh ChiÕn V¨n	0	113	4170	0	0	5	10						1017	95				\image\item\wenshi\emb_cloth20a1.spr	\image\item\wenshi\emb_cloth20a0.spr	D­¬ng Gia Th­¬ng kş - v¨n søc th­îng y cÊp 4		V¨n Søc-y		4	1	1	17		999
To¸i NguyÖt ChiÕn V¨n	0	113	4180	0	0	1	10						1018	95				\image\item\wenshi\emb_cloth16a1.spr	\image\item\wenshi\emb_cloth16a0.spr	D­¬ng Gia Cung kş - v¨n søc th­îng y cÊp 4		V¨n Søc-y		4	1	1	18		999
§éc Chu ChiÕn V¨n	0	113	4200	0	0	2	10						1020	95				\image\item\wenshi\emb_cloth17a1.spr	\image\item\wenshi\emb_cloth17a0.spr	Ngò §éc Tµ HiÖp - v¨n søc th­îng y cÊp 4		V¨n Søc-y		4	1	1	20		999
HuyÕt C¸p ChiÕn V¨n	0	113	4210	0	0	3	10						1021	95				\image\item\wenshi\emb_cloth18a1.spr	\image\item\wenshi\emb_cloth18a0.spr	Ngò §éc Cæ S­ - v¨n søc th­îng y cÊp 4		V¨n Søc-y		4	1	1	21		999
VÊn Thiªn ChiÕn V¨n	0	113	4230	0	0	4	10						1023	95				\image\item\wenshi\emb_cloth19a1.spr	\image\item\wenshi\emb_cloth19a0.spr	C«n Lu©n Thiªn S­ - v¨n søc th­îng y cÊp 4		V¨n Søc-y		4	1	1	23		999
ChiÕn Hån ChiÕn V¨n	0	113	4250	0	0	5	10						1025	95				\image\item\wenshi\emb_cloth20a1.spr	\image\item\wenshi\emb_cloth20a0.spr	Minh Gi¸o Th¸nh ChiÕn - v¨n søc th­îng y cÊp 4		V¨n Søc-y		4	1	1	25		999
Häa Lao ChiÕn V¨n	0	113	4260	0	0	1	10						1026	95				\image\item\wenshi\emb_cloth16a1.spr	\image\item\wenshi\emb_cloth16a0.spr	Minh Gi¸o TrËn Binh - v¨n søc th­îng y cÊp 4		V¨n Søc-y		4	1	1	26		999
HuyÕt KhÕ ChiÕn V¨n	0	113	4270	0	0	2	10						1027	95				\image\item\wenshi\emb_cloth17a1.spr	\image\item\wenshi\emb_cloth17a0.spr	Minh Gi¸o HuyÕt Nh©n - v¨n søc th­îng y cÊp 4		V¨n Søc-y		4	1	1	27		999
Kinh Hång ChiÕn V¨n	0	113	4290	0	0	3	10						1029	95				\image\item\wenshi\emb_cloth18a1.spr	\image\item\wenshi\emb_cloth18a0.spr	Thóy Yªn Vò Tiªn - v¨n søc th­îng y cÊp 4		V¨n Søc-y		4	1	1	29		999
L­u Ph­¬ng ChiÕn V¨n	0	113	4300	0	0	4	10						1030	95				\image\item\wenshi\emb_cloth19a1.spr	\image\item\wenshi\emb_cloth19a0.spr	Thóy Yªn Linh N÷ - v¨n søc th­îng y cÊp 4		V¨n Søc-y		4	1	1	30		999
Tr¶m ¸c ChiÕn V¨n	0	113	4310	0	0	5	10						1031	95				\image\item\wenshi\emb_cloth20a1.spr	\image\item\wenshi\emb_cloth20a0.spr	§­êng M«n NhËm HiÖp - v¨n søc th­îng y cÊp 4		V¨n Søc-y		4	1	1	31		999
KiÕm Duyªn ChiÕn V¨n	0	113	4320	0	0	1	10						1032	95				\image\item\wenshi\emb_cloth16a1.spr	\image\item\wenshi\emb_cloth16a0.spr	C«n L«n KiÕm T«n - v¨n søc th­îng y cÊp 4		V¨n Søc-y		4	1	1	32		999
V« Väng HuyÒn V¨n	0	114	4020	0	0	4	10						1002	95				\image\item\wenshi\emb_shoe19a1.spr	\image\item\wenshi\emb_shoe19a0.spr	ThiÕu L©m Tôc Gia - v¨n søc h¹ trang cÊp 4		V¨n Søc-Trang		4	1	1	2		999
V« TrÇn HuyÒn V¨n	0	114	4030	0	0	5	10						1003	95				\image\item\wenshi\emb_shoe20a1.spr	\image\item\wenshi\emb_shoe20a0.spr	ThiÕu L©m ThiÒn T¨ng - v¨n søc h¹ trang cÊp 4		V¨n Søc-Trang		4	1	1	3		999
V« CÊu HuyÒn V¨n	0	114	4040	0	0	1	10						1004	95				\image\item\wenshi\emb_shoe16a1.spr	\image\item\wenshi\emb_shoe16a0.spr	ThiÕu L©m Vâ T«ng - v¨n søc h¹ trang cÊp 4		V¨n Søc-Trang		4	1	1	4		999
TuyÖt S¸t HuyÒn V¨n	0	114	4060	0	0	2	10						1006	95				\image\item\wenshi\emb_shoe17a1.spr	\image\item\wenshi\emb_shoe17a0.spr	§­êng M«n - v¨n søc h¹ trang cÊp 4		V¨n Søc-Trang		4	1	1	6		999
TÕ ThÕ HuyÒn V¨n	0	114	4080	0	0	3	10						1008	95				\image\item\wenshi\emb_shoe18a1.spr	\image\item\wenshi\emb_shoe18a0.spr	Nga Mi PhËt Gia - v¨n søc h¹ trang cÊp 4		V¨n Søc-Trang		4	1	1	8		999
Méng Mª HuyÒn V¨n	0	114	4090	0	0	4	10						1009	95				\image\item\wenshi\emb_shoe19a1.spr	\image\item\wenshi\emb_shoe19a0.spr	Nga Mi Tôc Gia - v¨n søc h¹ trang cÊp 4		V¨n Søc-Trang		4	1	1	9		999
Oanh Thiªn HuyÒn V¨n	0	114	4110	0	0	5	10						1011	95				\image\item\wenshi\emb_shoe20a1.spr	\image\item\wenshi\emb_shoe20a0.spr	C¸i Bang TŞnh y - v¨n søc h¹ trang cÊp 4		V¨n Søc-Trang		4	1	1	11		999
ChÊn §Şa HuyÒn V¨n	0	114	4120	0	0	1	10						1012	95				\image\item\wenshi\emb_shoe16a1.spr	\image\item\wenshi\emb_shoe16a0.spr	C¸i Bang ¤ y - v¨n søc h¹ trang cÊp 4		V¨n Søc-Trang		4	1	1	12		999
§¹o T©m HuyÒn V¨n	0	114	4140	0	0	2	10						1014	95				\image\item\wenshi\emb_shoe17a1.spr	\image\item\wenshi\emb_shoe17a0.spr	Vâ §ang §¹o Gia - v¨n søc h¹ trang cÊp 4		V¨n Søc-Trang		4	1	1	14		999
Liªn Ch©u HuyÒn V¨n	0	114	4150	0	0	3	10						1015	95				\image\item\wenshi\emb_shoe18a1.spr	\image\item\wenshi\emb_shoe18a0.spr	Vâ §ang Tôc Gia - v¨n søc h¹ trang cÊp 4		V¨n Søc-Trang		4	1	1	15		999
Th«i Thµnh HuyÒn V¨n	0	114	4170	0	0	4	10						1017	95				\image\item\wenshi\emb_shoe19a1.spr	\image\item\wenshi\emb_shoe19a0.spr	D­¬ng Gia Th­¬ng kş - v¨n søc h¹ trang cÊp 4		V¨n Søc-Trang		4	1	1	17		999
To¸i NguyÖt HuyÒn V¨n	0	114	4180	0	0	5	10						1018	95				\image\item\wenshi\emb_shoe20a1.spr	\image\item\wenshi\emb_shoe20a0.spr	D­¬ng Gia Cung kş - v¨n søc h¹ trang cÊp 4		V¨n Søc-Trang		4	1	1	18		999
§éc Chu HuyÒn V¨n	0	114	4200	0	0	1	10						1020	95				\image\item\wenshi\emb_shoe16a1.spr	\image\item\wenshi\emb_shoe16a0.spr	Ngò §éc Tµ HiÖp - v¨n søc h¹ trang cÊp 4		V¨n Søc-Trang		4	1	1	20		999
HuyÕt C¸p HuyÒn V¨n	0	114	4210	0	0	2	10						1021	95				\image\item\wenshi\emb_shoe17a1.spr	\image\item\wenshi\emb_shoe17a0.spr	Ngò §éc Cæ S­ - v¨n søc h¹ trang cÊp 4		V¨n Søc-Trang		4	1	1	21		999
VÊn Thiªn HuyÒn V¨n	0	114	4230	0	0	3	10						1023	95				\image\item\wenshi\emb_shoe18a1.spr	\image\item\wenshi\emb_shoe18a0.spr	C«n Lu©n Thiªn S­ - v¨n søc h¹ trang cÊp 4		V¨n Søc-Trang		4	1	1	23		999
ChiÕn Hån HuyÒn V¨n	0	114	4250	0	0	4	10						1025	95				\image\item\wenshi\emb_shoe19a1.spr	\image\item\wenshi\emb_shoe19a0.spr	Minh Gi¸o Th¸nh ChiÕn - v¨n søc h¹ trang cÊp 4		V¨n Søc-Trang		4	1	1	25		999
Häa Lao HuyÒn V¨n	0	114	4260	0	0	5	10						1026	95				\image\item\wenshi\emb_shoe20a1.spr	\image\item\wenshi\emb_shoe20a0.spr	Minh Gi¸o TrËn Binh - v¨n søc h¹ trang cÊp 4		V¨n Søc-Trang		4	1	1	26		999
HuyÕt KhÕ HuyÒn V¨n	0	114	4270	0	0	1	10						1027	95				\image\item\wenshi\emb_shoe16a1.spr	\image\item\wenshi\emb_shoe16a0.spr	Minh Gi¸o HuyÕt Nh©n - v¨n søc h¹ trang cÊp 4		V¨n Søc-Trang		4	1	1	27		999
Kinh Hång HuyÒn V¨n	0	114	4290	0	0	2	10						1029	95				\image\item\wenshi\emb_shoe17a1.spr	\image\item\wenshi\emb_shoe17a0.spr	Thóy Yªn Vò Tiªn - v¨n søc h¹ trang cÊp 4		V¨n Søc-Trang		4	1	1	29		999
L­u Ph­¬ng HuyÒn V¨n	0	114	4300	0	0	3	10						1030	95				\image\item\wenshi\emb_shoe18a1.spr	\image\item\wenshi\emb_shoe18a0.spr	Thóy Yªn Linh N÷ - v¨n søc h¹ trang cÊp 4		V¨n Søc-Trang		4	1	1	30		999
Tr¶m ¸c HuyÒn V¨n	0	114	4310	0	0	4	10						1031	95				\image\item\wenshi\emb_shoe19a1.spr	\image\item\wenshi\emb_shoe19a0.spr	§­êng M«n NhËm HiÖp - v¨n søc h¹ trang cÊp 4		V¨n Søc-Trang		4	1	1	31		999
KiÕm Duyªn HuyÒn V¨n	0	114	4320	0	0	5	10						1032	95				\image\item\wenshi\emb_shoe20a1.spr	\image\item\wenshi\emb_shoe20a0.spr	C«n L«n KiÕm T«n - v¨n søc h¹ trang cÊp 4		V¨n Søc-Trang		4	1	1	32		999
V« Väng Minh §iªu	0	115	4020	0	0	3	10						1002	95				\image\item\wenshi\emb_ring18a1.spr	\image\item\wenshi\emb_ring18a0.spr	ThiÕu L©m Tôc Gia - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	2		999
V« TrÇn Minh §iªu	0	115	4030	0	0	4	10						1003	95				\image\item\wenshi\emb_ring19a1.spr	\image\item\wenshi\emb_ring19a0.spr	ThiÕu L©m ThiÒn T¨ng - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	3		999
V« CÊu Minh §iªu	0	115	4040	0	0	5	10						1004	95				\image\item\wenshi\emb_ring20a1.spr	\image\item\wenshi\emb_ring20a0.spr	ThiÕu L©m Vâ T«ng - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	4		999
TuyÖt S¸t Minh §iªu	0	115	4060	0	0	1	10						1006	95				\image\item\wenshi\emb_ring16a1.spr	\image\item\wenshi\emb_ring16a0.spr	§­êng M«n - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	6		999
TÕ ThÕ Minh §iªu	0	115	4080	0	0	2	10						1008	95				\image\item\wenshi\emb_ring17a1.spr	\image\item\wenshi\emb_ring17a0.spr	Nga Mi PhËt Gia - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	8		999
Méng Mª Minh §iªu	0	115	4090	0	0	3	10						1009	95				\image\item\wenshi\emb_ring18a1.spr	\image\item\wenshi\emb_ring18a0.spr	Nga Mi Tôc Gia - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	9		999
Oanh Thiªn Minh §iªu	0	115	4110	0	0	4	10						1011	95				\image\item\wenshi\emb_ring19a1.spr	\image\item\wenshi\emb_ring19a0.spr	C¸i Bang TŞnh y - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	11		999
ChÊn §Şa Minh §iªu	0	115	4120	0	0	5	10						1012	95				\image\item\wenshi\emb_ring20a1.spr	\image\item\wenshi\emb_ring20a0.spr	C¸i Bang ¤ y - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	12		999
§¹o T©m Minh §iªu	0	115	4140	0	0	1	10						1014	95				\image\item\wenshi\emb_ring16a1.spr	\image\item\wenshi\emb_ring16a0.spr	Vâ §ang §¹o Gia - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	14		999
Liªn Ch©u Minh §iªu	0	115	4150	0	0	2	10						1015	95				\image\item\wenshi\emb_ring17a1.spr	\image\item\wenshi\emb_ring17a0.spr	Vâ §ang Tôc Gia - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	15		999
Th«i Thµnh Minh §iªu	0	115	4170	0	0	3	10						1017	95				\image\item\wenshi\emb_ring18a1.spr	\image\item\wenshi\emb_ring18a0.spr	D­¬ng Gia Th­¬ng kş - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	17		999
To¸i NguyÖt Minh §iªu	0	115	4180	0	0	4	10						1018	95				\image\item\wenshi\emb_ring19a1.spr	\image\item\wenshi\emb_ring19a0.spr	D­¬ng Gia Cung kş - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	18		999
§éc Chu Minh §iªu	0	115	4200	0	0	5	10						1020	95				\image\item\wenshi\emb_ring20a1.spr	\image\item\wenshi\emb_ring20a0.spr	Ngò §éc Tµ HiÖp - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	20		999
HuyÕt C¸p Minh §iªu	0	115	4210	0	0	1	10						1021	95				\image\item\wenshi\emb_ring16a1.spr	\image\item\wenshi\emb_ring16a0.spr	Ngò §éc Cæ S­ - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	21		999
VÊn Thiªn Minh §iªu	0	115	4230	0	0	2	10						1023	95				\image\item\wenshi\emb_ring17a1.spr	\image\item\wenshi\emb_ring17a0.spr	C«n Lu©n Thiªn S­ - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	23		999
ChiÕn Hån Minh §iªu	0	115	4250	0	0	3	10						1025	95				\image\item\wenshi\emb_ring18a1.spr	\image\item\wenshi\emb_ring18a0.spr	Minh Gi¸o Th¸nh ChiÕn - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	25		999
Häa Lao Minh §iªu	0	115	4260	0	0	4	10						1026	95				\image\item\wenshi\emb_ring19a1.spr	\image\item\wenshi\emb_ring19a0.spr	Minh Gi¸o TrËn Binh - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	26		999
HuyÕt KhÕ Minh §iªu	0	115	4270	0	0	5	10						1027	95				\image\item\wenshi\emb_ring20a1.spr	\image\item\wenshi\emb_ring20a0.spr	Minh Gi¸o HuyÕt Nh©n - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	27		999
Kinh Hång Minh §iªu	0	115	4290	0	0	1	10						1029	95				\image\item\wenshi\emb_ring16a1.spr	\image\item\wenshi\emb_ring16a0.spr	Thóy Yªn Vò Tiªn - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	29		999
L­u Ph­¬ng Minh §iªu	0	115	4300	0	0	2	10						1030	95				\image\item\wenshi\emb_ring17a1.spr	\image\item\wenshi\emb_ring17a0.spr	Thóy Yªn Linh N÷ - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	30		999
Tr¶m ¸c Minh §iªu	0	115	4310	0	0	3	10						1031	95				\image\item\wenshi\emb_ring18a1.spr	\image\item\wenshi\emb_ring18a0.spr	§­êng M«n NhËm HiÖp - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	31		999
KiÕm Duyªn Minh §iªu	0	115	4320	0	0	4	10						1032	95				\image\item\wenshi\emb_ring19a1.spr	\image\item\wenshi\emb_ring19a0.spr	C«n L«n KiÕm T«n - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	32		999
V« Väng ¸m Kh¾c	0	117	4021	0	0	2	10						1002	95				\image\item\wenshi\emb_ring17a1.spr	\image\item\wenshi\emb_ring17a0.spr	ThiÕu L©m Tôc Gia - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	2		999
V« TrÇn ¸m Kh¾c	0	117	4031	0	0	3	10						1003	95				\image\item\wenshi\emb_ring18a1.spr	\image\item\wenshi\emb_ring18a0.spr	ThiÕu L©m ThiÒn T¨ng - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	3		999
V« CÊu ¸m Kh¾c	0	117	4041	0	0	4	10						1004	95				\image\item\wenshi\emb_ring19a1.spr	\image\item\wenshi\emb_ring19a0.spr	ThiÕu L©m Vâ T«ng - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	4		999
TuyÖt S¸t ¸m Kh¾c	0	117	4061	0	0	5	10						1006	95				\image\item\wenshi\emb_ring20a1.spr	\image\item\wenshi\emb_ring20a0.spr	§­êng M«n - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	6		999
TÕ ThÕ ¸m Kh¾c	0	117	4081	0	0	1	10						1008	95				\image\item\wenshi\emb_ring16a1.spr	\image\item\wenshi\emb_ring16a0.spr	Nga Mi PhËt Gia - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	8		999
Méng Mª ¸m Kh¾c	0	117	4091	0	0	2	10						1009	95				\image\item\wenshi\emb_ring17a1.spr	\image\item\wenshi\emb_ring17a0.spr	Nga Mi Tôc Gia - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	9		999
Oanh Thiªn ¸m Kh¾c	0	117	4111	0	0	3	10						1011	95				\image\item\wenshi\emb_ring18a1.spr	\image\item\wenshi\emb_ring18a0.spr	C¸i Bang TŞnh y - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	11		999
ChÊn §Şa ¸m Kh¾c	0	117	4121	0	0	4	10						1012	95				\image\item\wenshi\emb_ring19a1.spr	\image\item\wenshi\emb_ring19a0.spr	C¸i Bang ¤ y - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	12		999
§¹o T©m ¸m Kh¾c	0	117	4141	0	0	5	10						1014	95				\image\item\wenshi\emb_ring20a1.spr	\image\item\wenshi\emb_ring20a0.spr	Vâ §ang §¹o Gia - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	14		999
Liªn Ch©u ¸m Kh¾c	0	117	4151	0	0	1	10						1015	95				\image\item\wenshi\emb_ring16a1.spr	\image\item\wenshi\emb_ring16a0.spr	Vâ §ang Tôc Gia - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	15		999
Th«i Thµnh ¸m Kh¾c	0	117	4171	0	0	2	10						1017	95				\image\item\wenshi\emb_ring17a1.spr	\image\item\wenshi\emb_ring17a0.spr	D­¬ng Gia Th­¬ng kş - v¨n søc trang søc cÊp 4		V¨n Søc-Trang søc		4	1	1	17		999
