ID	Tªn kü n¨ng	Giíi thiÖu s¬ l­îc	§¼ng cÊp yªu cÇu	Yªu cÇu kü n¨ng phèi hîp:	Yªu cÇu danh väng
726	D­¬ng Gia X¶o ChiÕn QuyÕt	Kş thuËt trung cÊp, nĞ tr¸nh cùc kú linh ho¹t	Yªu cÇu ®¼ng cÊp: 29	Yªu cÇu luyÖn thµnh tÇng 5 D­¬ng Gia Ngù M· ThuËt	Yªu cÇu danh väng 300 ®iÓm
727	D­¬ng Gia Thiªn Hµnh Th­¬ng	Th­¬ng ph¸p trung cÊp, chuyÓn th­¬ng bay vßng khiÕn kÎ ®Şch bŞ chÊn ®éng	Yªu cÇu ®¼ng cÊp: 34	Yªu cÇu luyÖn thµnh tÇng 6 D­¬ng Gia Ph¸ Phong th­¬ng	Yªu cÇu danh väng 500 ®iÓm
728	D­¬ng Gia Anh Hïng Khİ	T©m ph¸p trung cÊp, gióp ®ång ®éi håi phôc c¸c thuéc tİnh chiÕn ®Êu	Yªu cÇu ®¼ng cÊp: 38	Yªu cÇu luyÖn thµnh tÇng 4 D­¬ng Gia ChiÕn §Şnh quyÕt	Yªu cÇu danh väng 600 ®iÓm
729	D­¬ng Gia §¶o H¶i Th­¬ng	Th­¬ng ph¸p cao cÊp, tÊn c«ng diÖn réng. Cã thÓ ph¸ gi¶i trËn h×nh	Yªu cÇu ®¼ng cÊp: 44	Yªu cÇu luyÖn thµnh tÇng 6 D­¬ng Gia B«n Lang Th­¬ng	Yªu cÇu danh väng 800 ®iÓm
730	D­¬ng Gia Ngù M· ThuËt	Kş thuËt cao cÊp, m­în vã ngùa ph¸t ra k×nh lùc lµm chÊn ®éng xung quanh	Yªu cÇu ®¼ng cÊp: 48	Yªu cÇu luyÖn thµnh tÇng 4 D­¬ng Gia X¶o ChiÕn quyÕt hoÆc tÇng 2 D­¬ng Gia Anh hïng khİ	Yªu cÇu danh väng 1000 ®iÓm
731	Bİch NguyÖt Phi Tinh Th­¬ng	Th­¬ng ph¸p cao cÊp, tÊn c«ng cïng lóc nhiÒu ®èi thñ	Yªu cÇu ®¼ng cÊp: 55	Yªu cÇu luyÖn thµnh tÇng 6 D­¬ng Gia Thiªn Hoµnh Th­¬ng hoÆc tÇng 3 D­¬ng Gia §¶o H¶i Th­¬ng	Yªu cÇu danh väng 3000 ®iÓm
732	Liªn Hoµn Toµn Long th­¬ng	Th­¬ng ph¸p TrÊn Ph¸i, xuÊt th­¬ng liªn hoµn khiÕn kÎ ®Şch kh«ng kŞp trë tay	CÇn ph¶i ®¹t cÊp 80 	Ph¶i häc ®­îc tÊt c¶ vâ c«ng cÊp cao cña bæn ph¸i 	Ph¶i cã 10000 danh väng
733	D­¬ng Gia Cung T©m Ph¸p	Cung kş binh t©m ph¸p c¬ b¶n, t¨ng c­êng kü n¨ng tÊn c«ng vµ kş thuËt			
734	Cung Ph¸p Tæng quyÕt	D­¬ng M«n cung phÊp c¬ b¶n, n©ng cao kü x¶o vµ s¸t th­¬ng khi sö dông cung	Yªu cÇu ®¼ng cÊp: 10	Yªu cÇu luyÖn thµnh tÇng 1 D­¬ng Gia Cung T©m Ph¸p	
735	D­¬ng Gia Liªn X¹ ThuËt	D­¬ng M«n cung ph¸p s¬ cÊp, liªn tiÕp b¾n tªn tÊn c«ng kÎ ®Şch tõ xa	Yªu cÇu ®¼ng cÊp: 12	Yªu cÇu luyÖn thµnh tÇng 1 D­¬ng Gia Cung ph¸p tæng quyÕt	Yªu cÇu danh väng: 30 ®iÓm
736	D­¬ng Gia TrËn LiÖu ThuËt	Kü n¨ng S¬ cÊp, t¨ng kh¶ n¨ng kh¸ng ®éc	Yªu cÇu ®¼ng cÊp: 16	Yªu cÇu luyÖn thµnh tÇng 2 D­¬ng Gia Cung ph¸p tæng quyÕt	Yªu cÇu danh väng 50 ®iÓm
737	D­¬ng Gia Håi Long TiÔn	Cung ph¸p S¬ cÊp, tÊn c«ng ®èi ph­¬ng ®¬n lÎ tõ xa	Yªu cÇu ®¼ng cÊp: 20	Yªu cÇu luyÖn thµnh tÇng 4 D­¬ng Gia Cung ph¸p tæng quyÕt	Yªu cÇu danh väng 100 ®iÓm
738	D­¬ng Gia TriÒn V©n TiÔn	Cung ph¸p trung cÊp, b¾n tªn vµo ch©n ®èi ph­¬ng lµm gi¶m tèc ®é di chuyÓn	Yªu cÇu ®¼ng cÊp: 24	Yªu cÇu luyÖn thµnh tÇng 1 D­¬ng Gia Håi Long TiÔn	Yªu cÇu danh väng 180 ®iÓm
739	D­¬ng Gia Kú M«n ThuÉn	Kü n¨ng trung cÊp, t¹o thµnh mét bøc t­êng phßng thñ ch¾c ch¾n	Yªu cÇu ®¼ng cÊp: 28	Yªu cÇu luyÖn thµnh tÇng 3 D­¬ng Gia TrËn LiÖu thuËt	Yªu cÇu danh väng 300 ®iÓm
740	D­¬ng Gia Ch¸nh Khİ TiÔn	Cung ph¸p trung cÊp, chuyªn ®èi phã víi kÎ ®Şch tµ m«n	Yªu cÇu ®¼ng cÊp: 33	Yªu cÇu luyÖn thµnh tÇng 4 D­¬ng Gia Håi Long TiÔn	Yªu cÇu danh väng 500 ®iÓm
741	D­¬ng Gia To¸i Kim TiÔn	Cung ph¸p trung cÊp, toµn lùc ph¸t ra mét mòi tªn uy lùc cùc ®¹i	Yªu cÇu ®¼ng cÊp: 38	Yªu cÇu luyÖn thµnh tÇng 6 D­¬ng Gia Liªn X¹ thuËt	Yªu cÇu danh väng 600 ®iÓm
742	HuyÔn ThÇn quyÕt	T©m ph¸p cao cÊp, mang l¹i hiÖu qu¶ ®Æc biÖt cho cung tiÔn	Yªu cÇu ®¼ng cÊp: 44	Yªu cÇu luyÖn thµnh tÇng 4 Kú M«n ThuÉn	Yªu cÇu danh väng 800 ®iÓm
743	D­¬ng Gia Tôc MÖnh QuyÕt	T©m ph¸p cao cÊp gióp b¶n th©n tr¸nh ®­îc s¸t th­¬ng chİ m¹ng	Yªu cÇu ®¼ng cÊp: 48	Yªu cÇu luyÖn thµnh tÇng 5 Kú M«n ThuÉn	Yªu cÇu danh väng 1000 ®iÓm
744	L­u Quang TuyÖt ¶nh TiÔn	Cung ph¸p cao cÊp, b¾n ra phİa tr­íc vµ h­íng ngang v« sè cung tªn	Yªu cÇu ®¼ng cÊp: 55	Yªu cÇu luyÖn thµnh tÇng 6 D­¬ng Gia TriÒn V©n TiÔn, tÇng 6 D­¬ng Gia Chİnh Khİ TiÔn, tÇng 6 D­¬ng Gia To¸i Kim TiÔn	Yªu cÇu danh väng 3000 ®iÓm
745	B¸ V­¬ng T­êng Phông TiÔn	Cung ph¸p D­¬ng m«n trÊn ph¸i, khã mµ tho¸t ®­îc	CÇn ph¶i ®¹t cÊp 80 	Ph¶i häc ®­îc tÊt c¶ vâ c«ng cÊp cao cña bæn ph¸i 	Ph¶i cã 10000 danh väng
865	???	Kü n¨ng phu thª 1		???	
866	???	Kü n¨ng phu thª 2		???	
867	???	Kü n¨ng phu thª 3		???	
868	???	Kü n¨ng phu thª 4		???	
869	???	Kü n¨ng phu thª 5		???	
